 RU IT AL GT ST TT S A 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100
0 0 1 3 1.002682 0.681774 1.742066 18 18 0.04964349999998774 0.041515500000016914 0.04170310000000654 0.04419719999999927 0.05005450000000167 0.04762940000001947 0.050696099999981925 0.05364289999999983 0.05617830000001334 0.056491299999990474 0.05792359999999519 0.07331650000000423 0.07551759999999774 0.09800960000001169 0.12475610000001325 0.22241839999999513 0.2959122999999977 0.22706070000000977 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 1 2 2.704608 2.121319 5.030761 34 34 0.08875419999998257 0.05490220000000079 0.06185649999999043 0.06513429999999687 0.0698555999999968 0.10922019999999577 0.07993629999999996 0.07672669999999471 0.07546549999999286 0.07701740000000257 0.08160129999998844 0.08895390000000702 0.09028719999999169 0.08901380000000358 0.09403360000000305 0.09858859999999936 0.09406240000001276 0.09598610000000463 0.09729600000001426 0.11210239999999771 0.10790509999998221 0.11431550000000357 0.11288539999999614 0.12235330000001454 0.11875480000000493 0.12081059999999866 0.14797489999997993 0.17072179999999548 0.22637410000000102 0.28994710000000623 0.37624600000000896 0.36409280000000876 0.3637070999999992 0.4705836999999917 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2 0 1 1 14.845012 9.039168 24.474754 53 53 0.23407410000000084 0.07708660000000123 0.08246859999999856 0.10251089999999863 0.09245510000000934 0.09962009999999566 0.11021330000001228 0.10743390000000375 0.1099769000000066 0.11180380000000412 0.11479140000000143 0.1192276000000021 0.12389220000000023 0.12494790000000933 0.1273502000000093 0.1308427000000023 0.13674449999999183 0.14093519999998705 0.13747289999999168 0.13799720000000093 0.1419328000000064 0.14957409999999527 0.16394600000002413 0.16666399999999726 0.1682344000000029 0.15169050000000084 0.16327429999999765 0.16572460000000433 0.16916509999998652 0.17638289999999301 0.17821200000000204 0.17588340000000358 0.17812549999999305 0.18183000000000504 0.5081727000000029 0.5315835000000106 0.5418841999999984 0.6154617000000115 0.5555238000000173 0.6168230999999906 0.5983003000000053 0.6183164999999917 0.708812199999997 0.7850658999999922 0.7974252000000064 1.0303248999999965 1.1698849999999936 0.9141991999999988 1.1654628000000002 1.4720610999999906 1.5564083999999951 2.869029800000007 2.0559253999999925 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3 1 1 3 0.944577 0.732279 1.733583 18 18 0.05000620000001277 0.038455200000001355 0.040520200000003115 0.04231129999999439 0.046373400000007337 0.05029609999999707 0.0518902999999824 0.053972299999998086 0.052878299999989054 0.055826800000005505 0.06282619999998929 0.06538220000001616 0.08189640000000509 0.09716039999997861 0.11884810000000812 0.22713619999998969 0.3247915999999975 0.19733789999999374 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 1 2 2.71326 1.914836 4.825728 34 34 0.07441990000000942 0.05490190000000439 0.05786870000000022 0.06131729999999891 0.06421290000000113 0.06877830000000529 0.07554749999999899 0.08161339999999484 0.0845509999999905 0.07907440000001031 0.08342709999999443 0.08355519999999217 0.08630139999999642 0.09061550000001262 0.09351159999999936 0.09590400000000443 0.09535879999999963 0.14002829999999733 0.11575469999999655 0.10863999999999407 0.10716189999999415 0.10957220000000234 0.1110488999999859 0.11669889999998873 0.12078620000001195 0.1272751999999855 0.16315620000000308 0.16945209999998667 0.23949899999999502 0.2576866999999936 0.30938739999999143 0.36426630000001126 0.3694747999999919 0.34768470000000207 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 1 1 15.32947 9.718135 25.648511 55 55 0.22625979999999402 0.08330579999999088 0.07865129999998999 0.08641329999998959 0.1011366000000038 0.09954290000000299 0.10541139999999416 0.10939719999998943 0.10848819999999648 0.11032900000000723 0.11947419999998488 0.1190148000000022 0.1252468999999934 0.12022550000000365 0.12102970000000823 0.13346130000000755 0.12841969999999492 0.13673310000000072 0.160769099999996 0.15770240000000513 0.13989850000001525 0.1426586000000043 0.14763429999997868 0.14956770000000574 0.1569906000000003 0.15971039999999448 0.17015349999998364 0.20109290000000613 0.17337899999999706 0.16892310000000066 0.17406169999999577 0.1815704999999923 0.17720109999999067 0.18037710000000118 0.48233880000000795 0.50659619999999 0.5238804000000101 0.5474260999999956 0.5473181000000125 0.6203696000000036 0.5889122999999898 0.6130770000000041 0.7455482999999958 0.670755999999983 0.7599115999999952 0.8765830000000108 0.8769973000000135 1.0048165999999839 1.0664495999999986 1.128462799999994 1.0882805000000104 1.4306026000000003 1.4530943999999835 2.0329041000000103 2.7065542999999934 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6 2 1 3 0.891553 0.699701 1.643466 18 18 0.04659330000001205 0.03681610000001001 0.03781889999996224 0.04185779999997408 0.04859419999996817 0.04552659999998809 0.047730399999977635 0.05082049999998617 0.05435060000002068 0.05354429999999866 0.06156360000002792 0.059541499999994585 0.06995699999998806 0.09463120000000913 0.14180650000000128 0.2072157000000061 0.33564060000000495 0.14041340000002833 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 1 2 2.768363 1.695962 4.657966 34 34 0.07509049999998751 0.05753999999998882 0.053124400000001515 0.05763870000001248 0.06359639999999445 0.065127700000005 0.07397690000001944 0.08084370000003105 0.08614590000001954 0.10859680000001504 0.0780358000000092 0.0801219999999887 0.11984129999999027 0.08739550000001373 0.08595920000001911 0.09929819999999268 0.09003269999999475 0.09481510000000526 0.10227570000003539 0.11516459999998574 0.11140700000001402 0.11921819999997751 0.11525860000003263 0.13207520000000272 0.13119499999999107 0.12518649999998388 0.150151099999988 0.17229420000001028 0.23193839999999 0.24720930000000862 0.2846059000000025 0.30256210000001715 0.31997189999998454 0.3291660999999806 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8 2 1 1 14.900907 7.740881 23.220253 53 53 0.31866350000001376 0.12226759999998649 0.12731450000003974 0.0841079999999863 0.14330340000000774 0.14582960000001322 0.1283292999999901 0.13588620000001583 0.12358449999999266 0.1185065000000236 0.12136130000001799 0.11848630000000071 0.11877530000001002 0.12595600000000218 0.12274380000002338 0.12069080000000554 0.13216310000001386 0.13225450000001615 0.13555320000000393 0.13387420000000816 0.16381930000002853 0.1508757000000287 0.15338500000001432 0.1687342999999828 0.1909870000000069 0.1763664999999719 0.19185920000001033 0.18062099999997372 0.1863125999999795 0.18363030000003278 0.34568329999999037 0.1935300999999754 0.18290930000000571 0.24681329999998525 0.70178709999999 0.6713287000000037 0.4986309000000233 0.5916364999999928 0.583776400000005 0.5540342999999837 0.6201197999999977 0.6189928000000009 0.6554711999999938 0.7314082999999982 0.6153749000000062 0.9277267999999879 1.0172385999999847 0.8757433000000105 1.0785313000000087 1.2319173000000205 1.835099200000002 1.7294763999999816 1.6573655999999914 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 3 1 3 0.908448 0.790578 1.750362 18 18 0.050837099999995417 0.0372673999999904 0.040321599999998625 0.04292950000001383 0.04424090000000547 0.04587880000002542 0.05237180000000308 0.05152760000001422 0.05451030000000401 0.057948600000003125 0.061783899999994674 0.06592699999998786 0.07830939999999487 0.09547789999999168 0.1283759000000373 0.23374359999999683 0.33551039999997556 0.20554349999997612 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10 3 1 2 2.690251 1.64648 4.529159 34 34 0.07513040000000615 0.06029600000002233 0.05930200000003083 0.06453880000000822 0.07175559999998882 0.07819050000000516 0.0788234999999986 0.07955680000000598 0.07506749999998874 0.08546129999999152 0.09150280000000066 0.08999900000000594 0.09085699999997132 0.09483029999998394 0.0867897000000255 0.10151079999999979 0.10153049999999553 0.10208479999997166 0.0994083999999873 0.10866949999999065 0.10754029999998238 0.11193760000000452 0.10448889999997846 0.10797010000001706 0.12511010000002898 0.12594920000000798 0.14489500000001954 0.17221959999997694 0.18853869999998096 0.22546499999995717 0.2847368000000188 0.3053569000000209 0.2906959000000029 0.32451609999998254 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
