 RU IT AL GT ST TT S A 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67
0 0 1 1 19.398252 1807.812652 1829.920899 67 67 0.20874929999999958 0.0824145999999999 0.07185189999999997 0.09751010000000004 0.10087379999999957 0.09726839999999992 0.1023274999999999 0.09870340000000022 0.10424589999999956 0.17525250000000003 0.1067758999999997 0.11635350000000022 0.12672240000000023 0.17160299999999973 0.12554140000000036 0.13969139999999935 0.1692392999999992 0.17530290000000015 0.15964390000000073 0.17828110000000041 0.22791969999999928 0.2980777999999997 0.3147706000000001 0.42160839999999933 0.5190580000000002 0.8973992000000006 0.7331613999999993 0.39955929999999995 0.38885349999999796 0.4481011000000006 0.4951337999999996 0.7484380000000019 1.2223822999999978 2.0990236000000007 2.801236099999999 2.5484100999999946 2.6057770999999974 4.562141400000002 3.8750795999999994 5.415914900000001 7.923792499999998 9.171463700000004 11.774199099999997 16.1580419 17.175016400000004 18.0040817 16.831100899999996 19.651578400000005 20.714362600000015 29.874630200000013 48.2034893 41.80374840000002 78.43545470000004 95.91518120000006 83.04197319999997 103.14944560000004 129.18430850000004 130.70455749999996 148.57254030000001 105.06416919999992 81.03905349999991 80.62096450000013 102.34389680000004 114.26311820000024 136.7117098000001 130.3505007000001 16.87841400000002
1 1 1 1 16.706048 1508.520511 1527.541034 67 67 0.1980393000001186 0.06862759999989976 0.07498830000008638 0.0767766000001302 0.08600539999997636 0.08704429999988861 0.09123700000031931 0.09774539999989429 0.09878119999984847 0.10385669999982383 0.10090850000005958 0.0987668999998732 0.102925599999935 0.10158750000005057 0.11173940000003313 0.10628990000009253 0.11080730000026051 0.12827539999989312 0.12522590000025957 0.12838810000016565 0.13308349999988422 0.14414080000005924 0.15013289999978952 0.17712329999994836 0.19650380000030054 0.23172220000014931 0.2940284999999676 0.4206020999999964 0.5708025999999791 0.661784599999919 1.1017259999998714 1.3363085999999385 1.9035959000000275 3.044287899999972 2.693566300000157 1.9972983000000113 3.1827361000000565 3.6691213000001426 4.410928399999875 5.321868799999947 4.544656000000032 4.952218700000003 6.3486855000001015 9.180443400000058 10.37860180000007 16.31015629999979 18.510421799999904 21.496320599999763 22.330559300000004 30.11055659999988 31.21897869999998 33.55225160000009 60.250345599999946 89.8254492000001 95.89743789999966 124.22666359999994 119.48624600000039 116.13395279999986 84.92535970000017 75.20797719999973 48.96718069999997 50.540088200000355 77.51168749999988 77.59861369999953 118.61593649999986 123.59631330000002 19.750598799999807
2 2 1 1 16.958693 1674.864803 1694.158647 67 67 0.2043788000000859 0.06929790000003777 0.07186550000005809 0.08023189999994429 0.09445589999995718 0.0925547000001643 0.09536930000058419 0.09918840000000273 0.10104589999946256 0.10329969999975219 0.10466450000012628 0.10193910000043616 0.10658460000013292 0.1058259999999791 0.10930509999980131 0.11801869999999326 0.1259727000001476 0.11647430000039094 0.11593700000003082 0.12232640000001993 0.14616869999963455 0.16791829999965557 0.23099739999997837 0.2893543000000136 0.3392775000002075 0.3079805999996097 0.434307600000011 0.5560443999997915 0.8158800999999585 1.081257899999855 1.74450220000017 1.9730281000001924 2.0645487000001594 3.0841639000000214 2.5080229999998664 3.187687399999959 3.078999699999713 3.7446445999999014 3.9281882999998743 4.249736899999789 6.291567000000214 8.864249400000062 9.154491699999653 12.032748999999967 14.38113659999999 24.827844399999776 30.082500299999992 43.23767450000014 46.34034220000012 50.961294499999894 63.27274729999999 61.36079420000033 71.45025299999998 81.71711659999983 42.40416250000044 40.27575489999981 53.801045399999566 68.0024254000009 60.56524629999967 104.0349699999997 122.2657936000005 109.64202849999947 119.15142769999966 132.2658362000002 142.41032079999968 120.99345429999903 15.944440300000679
3 3 1 1 17.208899 1966.311279 1986.03415 67 67 0.21630610000011075 0.0718866999995953 0.07156159999976808 0.0777154999996128 0.08692070000051899 0.08725600000070699 0.09206730000005336 0.09535469999991619 0.09725440000056551 0.09830309999961173 0.09961180000027525 0.10423639999953593 0.12065139999867824 0.11627609999959532 0.12918510000054084 0.13250589999915974 0.14127069999995 0.16130270000030578 0.15434459999960382 0.19050509999942733 0.26846610000029614 0.31250509999972564 0.38014529999964 0.45561429999997927 0.6042171999997663 0.9159874999995736 1.493658299999879 2.5543102000001454 0.897710699999152 0.6034387999998216 0.9135792999995829 0.8277163000002474 1.3247636999994938 1.7122097999999824 2.44765820000066 3.581405199999608 4.625871000000188 4.250542800000403 6.347467800000231 6.019674199999827 9.288832699999148 11.636729000000742 14.077742700000272 13.22847499999989 13.3850053999995 18.440798300000097 28.015333800000008 30.454906399999345 43.22937110000021 52.25123590000021 68.4699584000009 75.94717419999961 90.30499069999951 111.41591490000064 130.23242019999998 48.91034150000087 42.205883699999504 48.28970070000014 46.08069880000039 67.6351767999995 91.9094597000003 124.71415969999998 115.28088329999991 150.5129080000006 200.20447400000012 259.3979279999994 35.097964699999466
4 4 1 1 17.497749 2230.264086 2250.304423 67 67 0.19718330000068818 0.06818240000029618 0.06976089999989199 0.07662519999939832 0.08834120000028634 0.09085099999992963 0.08945899999980611 0.09728380000069592 0.09702839999954449 0.09619919999931881 0.09576370000104362 0.0965909999986252 0.10131650000039372 0.10118529999999737 0.10690990000057354 0.10858049999933428 0.11017750000064552 0.1264683999997942 0.13417919999938022 0.16472319999957108 0.16199679999954242 0.17096459999993385 0.18317610000030982 0.2360195000001113 0.2952194999998028 0.2720626000009361 0.28006339999956253 0.25821969999924477 0.3319510999990598 0.425316699999712 0.5101625999996031 0.7863288000007742 1.207755599999473 1.5467112999995152 1.6726727000004757 1.9991141000000425 2.0633298999991894 3.02760809999927 4.387905199999295 3.250966000000517 4.330407599999489 5.624835699999494 8.288783300000432 10.648107300000447 14.388524699999834 10.83114470000055 17.442512000000534 29.925043999998707 32.520362499999464 38.61350080000102 57.0411924 74.21091590000015 126.28833789999953 103.5176134000003 166.67732290000004 206.3807480000005 243.25115560000177 129.58120459999918 122.86643510000067 138.59756989999914 103.01903019999918 104.50564959999974 89.72540290000143 82.32469719999972 124.48470200000156 125.87762930000099 51.59490099999857
5 5 1 1 18.095061 1936.136579 1956.834347 67 67 0.20261800000116637 0.07074070000089705 0.0761079999992944 0.079854499999783 0.09551920000012615 0.10114309999880788 0.09641179999744054 0.09717420000015409 0.09975499999927706 0.10850410000057309 0.11057629999959318 0.10991470000044501 0.10706390000086685 0.11230230000182928 0.11814859999867622 0.1226158999998006 0.13330479999967793 0.14781379999840283 0.12786080000114453 0.1436917999999423 0.13709340000059456 0.14382199999818113 0.17324939999889466 0.22013540000261855 0.26938630000040575 0.33488930000021355 0.40923860000111745 0.6527912000001379 0.7032570999999734 0.8976893000017299 1.3861390000001848 1.9466996999999537 3.120974900000874 3.4578542999988713 3.3422382999997353 4.077544100000523 4.627000699998462 3.2707219000003533 5.218132500000138 4.926478699999279 6.145972100002837 7.845181199998478 14.03050390000135 12.555961800002478 18.854796200001147 21.836202200000116 26.639855600000374 35.93305820000023 47.430669500001386 60.512217799998325 65.93284850000055 91.13704529999814 113.70737729999928 139.59031239999968 148.2863991999984 138.90561440000238 155.49626309999985 143.65435559999787 79.19580210000095 63.5784016000016 61.860886699998446 81.10235160000047 88.3205104000026 60.308396399999765 88.65442259999872 116.50879329999952 24.61068829999931
6 6 1 1 17.364401 2063.599083 2083.382294 67 67 0.20702369999889925 0.07266489999892656 0.07124389999989944 0.08374549999825831 0.08744879999903787 0.08932820000154607 0.09751019999930577 0.09503860000040731 0.09646790000078909 0.09729549999974552 0.10011669999948936 0.10121110000000044 0.10473850000198581 0.1070423999990453 0.11488739999913378 0.11727069999869855 0.12015870000141149 0.12491380000028585 0.1161883000004309 0.12291479999839794 0.1334287999998196 0.1660161000017979 0.17871550000018033 0.19800989999930607 0.1921292999995785 0.2535878999988199 0.34237309999844 0.46306409999851894 0.6498418999999558 0.7826996000003419 1.157391300001109 1.5637077999999747 1.4705039000000397 1.556726200000412 1.664281100000153 2.737930499999493 3.287334299999202 2.6049474000010377 3.5314674000019295 3.994081599999845 4.200677000000724 4.480984999998327 5.12484879999829 6.139387600000191 10.034965299999385 9.375775600001361 12.835329500001535 16.9291374000004 19.94807359999868 30.424065100000007 41.09929869999905 44.35477820000051 56.31522760000007 74.58959090000099 89.4843278999997 78.87485719999859 80.80635650000113 91.81978089999939 86.42655709999963 113.16488369999934 147.00703310000063 179.39929889999985 179.53032920000078 146.66280749999896 269.636110999998 210.16482410000026 43.05806920000032
7 7 1 1 16.552894 1420.97052 1439.773865 67 67 0.20451690000118106 0.06810959999893385 0.07115590000103111 0.07702640000206884 0.08595710000008694 0.08769930000016757 0.0952039000003424 0.09402009999757865 0.09703399999852991 0.09817350000048464 0.09799629999906756 0.0978240000004007 0.10192069999902742 0.10316590000002179 0.1090329999988171 0.10726489999979094 0.10918700000001991 0.11896089999936521 0.12272360000133631 0.1422212000015861 0.1623433999993722 0.16568310000002384 0.16736850000052073 0.20775870000034047 0.262107599997762 0.3045438999997714 0.4152964000004431 0.4862145999995846 0.610937900000863 0.9926275999987411 1.4073752000003878 0.8509001999991597 1.299428500000431 1.1855526999988797 1.446575899999516 2.258460600001854 3.243494999998802 3.0025399000005564 3.1915556999992987 3.5238845000003494 3.80869519999942 6.129431499999555 7.579211599999326 8.326967499999228 8.87172129999999 12.057914799999708 13.548482800000784 28.929474199998367 34.361675000000105 28.069655800001783 37.098517000000356 53.63176079999721 55.073927999999796 61.85448650000217 101.40625390000059 76.91171719999875 48.365964300000996 48.95158859999901 69.98890369999936 98.41377119999925 77.10738999999921 71.20913709999877 100.04472320000059 132.45386529999996 132.6563285000011 69.60934930000076 23.76906169999893
8 8 1 1 16.657743 1460.799762 1479.765349 67 67 0.20229590000053577 0.06896240000060061 0.07061050000265823 0.0776051999982883 0.08594509999966249 0.0882846000004065 0.08998840000094788 0.09422539999832225 0.09601470000052359 0.09677399999964109 0.10240449999946577 0.09926810000069963 0.10925160000260803 0.10310679999929562 0.10936749999927997 0.11160130000098434 0.1144559999993362 0.13796390000061365 0.16199320000123407 0.1889563000004273 0.17968149999978777 0.21780070000022533 0.27299569999922824 0.3696218000004592 0.4268410999993648 0.47450420000132 0.5023072999993019 0.3839519000011933 0.4984029000006558 0.5871873999985837 0.644595700001446 0.8224968000013178 1.3686373000000458 2.4662427000021125 2.65772029999971 4.221629599998778 4.230945100000099 3.586212100000921 4.576908000000913 4.141311200000928 8.449103599999944 12.075802100000146 10.758625599999505 9.47011079999902 13.268409000000247 14.82751929999904 18.239936599999055 17.602678299999752 21.234725700000126 23.72540669999944 42.11546570000064 54.28238810000039 42.47499040000184 44.873237299998436 77.98445629999878 62.20590359999915 55.31334210000023 76.65482019999945 105.03542340000058 109.51745999999912 98.03905300000042 110.31662770000185 84.59347530000014 102.82333909999943 100.06909839999935 111.48692480000136 15.160170299999663
9 9 1 1 16.539888 1562.68534 1581.6565 67 67 0.1965185000008205 0.06848100000024715 0.07056250000096043 0.08154339999964577 0.08653730000150972 0.0870840000006865 0.09106400000018766 0.09559190000072704 0.09545320000142965 0.1012499000007665 0.09733140000025742 0.10401680000177294 0.10591370000111056 0.10413109999899461 0.11219159999927797 0.1186440000001312 0.12227639999946405 0.12480420000065351 0.12758309999844641 0.14737889999923937 0.18867519999912474 0.18788819999826956 0.21930199999951583 0.2977537000006123 0.38767100000040955 0.5975153000017599 0.361763199998677 0.32358189999831666 0.4521926999987045 0.5951823000013974 0.7617668000002595 1.194363800001156 1.5354606000000786 1.3334462999991956 2.5297778000003746 2.239493400000356 2.730347400000028 2.790661299999556 3.167884500000582 5.0469702999998844 7.921784699999989 7.8375458999980765 8.699364699999933 11.456068099998447 11.460666099999798 13.000342200000887 23.534183299998404 20.146793199999593 33.15681770000083 37.73677210000096 37.96671029999925 44.404737199998635 56.05862420000267 84.53286149999985 84.93072349999784 112.40035569999964 103.53695280000102 108.50161369999842 50.92735419999735 51.64551460000075 65.32315250000102 63.82673950000026 86.22515719999865 83.36714510000456 97.45941590000075 145.6687407999998 98.39940760000172
