 RU IT AL GT ST TT S A 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
21 7 1 3 0.824862 0.624905 1.491249 18 18 0.04467799999997624 0.03414449999996805 0.03574359999998933 0.03923069999996187 0.03940289999997049 0.042528900000036174 0.04444999999998345 0.04445349999997461 0.049088700000027075 0.05562499999996362 0.055350400000008904 0.0594583999999827 0.06524220000000014 0.07696160000006103 0.09188939999995682 0.17163499999998066 0.24956309999998894 0.23240409999999656 0.0 0.0 0.0 0.0 0.0
22 7 1 2 1.980918 1.371738 3.492617 34 34 0.8455586000000039 0.08939550000002328 0.08427449999999226 0.09315049999997882 0.09478940000002467 0.10719810000000507 0.10138610000001336 0.1172334999999407 0.12220229999996945 0.10802599999999529 0.13297959999999875 0.13333389999996825 0.17992840000005117 0.23014600000004748 0.19701800000001413 0.2102580999999759 0.23990510000004406 0.24872740000000704 0.0 0.0 0.0 0.0 0.0
23 7 1 1 12.631552 6.031036 19.074565 53 53 5.393382099999997 0.3922574000000054 0.41063790000009703 0.4321766999999568 0.4399404000000118 0.5429288999999926 0.466124000000093 0.5922039000000154 0.5747597000000155 0.4505275000000779 0.545426300000031 0.7113522000000216 0.6958402000000206 0.5928017999999611 0.6473855000000412 0.7389944000000241 0.7602992999999856 1.2023671999999692 0.6383235999999783 1.0305786999999782 1.3837141000000202 0.0 0.0
24 8 1 3 0.826779 0.639024 1.507776 18 18 0.04657040000000734 0.03466389999999819 0.034860299999991184 0.040852499999971315 0.040838899999982914 0.043153399999994235 0.044618000000014035 0.045672400000000835 0.048034099999995306 0.050816600000075596 0.05118200000003981 0.05719490000001315 0.06784510000005639 0.0842577000000233 0.11359639999994897 0.19441270000004351 0.32451959999991686 0.12678110000001652 0.0 0.0 0.0 0.0 0.0
25 8 1 2 1.991919 1.55657 3.683448 34 34 0.8629121000000168 0.08749509999995553 0.09121879999997873 0.0947411999999872 0.09612809999998717 0.1017659999999978 0.10174749999998767 0.10273750000004611 0.12112420000005386 0.1127465000000143 0.13775060000000394 0.1451031999999941 0.18468989999996666 0.19886339999999336 0.19991370000002462 0.21263849999996864 0.2854297000000088 0.3942063999999732 0.0 0.0 0.0 0.0 0.0
26 8 1 1 12.532938 7.226988 20.177233 53 53 5.325416700000005 0.3901826000000028 0.4100443000000382 0.41951469999997926 0.4938409999999749 0.5390344000000482 0.4558799999999792 0.45940309999997453 0.536193800000035 0.46462640000004285 0.5122529999999301 0.5613152999999897 0.7434032999999545 0.9016519999999559 0.5703502999999728 0.61097460000002 1.284926999999982 1.1572993999999994 0.853116 1.45305460000003 1.5977886999999669 0.0 0.0
27 9 1 3 0.815922 0.852409 1.713276 18 18 0.045027100000027076 0.03414399999996931 0.0350268999999912 0.039705400000002555 0.040065099999992526 0.04235110000001896 0.04537209999995184 0.044594500000016524 0.047857100000044284 0.051199800000006235 0.05593910000004598 0.06266820000001871 0.06477539999997362 0.0903257999999596 0.11932250000000977 0.20690250000001242 0.3156765000000519 0.3109107000000222 0.0 0.0 0.0 0.0 0.0
28 9 1 2 1.975149 1.455873 3.565102 34 34 0.8562791000000516 0.08636959999995497 0.08886520000004339 0.09552680000001601 0.09567240000006905 0.09468379999998433 0.09255139999999074 0.1030215000000112 0.11538529999995717 0.11748000000000047 0.1287337999999636 0.13985789999998133 0.18948779999999488 0.22766940000002478 0.18708870000000388 0.2892751999999632 0.27291289999999435 0.23343660000000455 0.0 0.0 0.0 0.0 0.0
29 9 1 1 13.701448 13.977647 28.175522 55 55 5.32775509999999 0.38932000000005473 0.40659500000003845 0.47732589999998254 0.42673250000001417 0.422015599999952 0.4494820000000459 0.4626102999999375 0.46594029999999975 0.581291399999941 0.5765687999999614 0.5192637999999192 0.6123839999999632 0.8363547000000153 0.7516709999999875 0.8251761000000783 1.1220711999999935 1.4447082999999452 1.1600608000000534 2.0068236000000184 2.6189482999999427 3.2137349999999856 2.561899600000004
30 10 1 3 0.834202 0.617988 1.495068 18 18 0.044354000000055294 0.035236000000054446 0.03655820000000176 0.039429900000016005 0.039862499999969714 0.04200500000001739 0.04555569999996578 0.045992200000000594 0.05339850000001434 0.0502840000000333 0.05367969999997513 0.06119300000005978 0.07478249999996933 0.08407159999995883 0.10410459999997101 0.20383819999995012 0.24019680000003518 0.18187830000005079 0.0 0.0 0.0 0.0 0.0
