search_mode minbound minbound minbound standard standard standard yield yield yield
 QL_SCORE TI_SCORE GRADE QL_SCORE TI_SCORE GRADE QL_SCORE TI_SCORE GRADE
achievement_type         
seqa 0.9812206572769954 0.6366191382574621 0.6277287395297798 0.9690994451557832 0.5948046920936757 0.5781960062185517 0.9604815276048152 0.6048284064873536 0.5845228100767456
sima 0.9812206572769954 0.631837624905277 0.6168641681958387 0.9726027397260274 0.5892211585788162 0.5743498517520735 0.9690994451557832 0.6062595020135064 0.5864519883960434
