online_bounds   "(2, 2)" "(2, 2)" "(2, 2)" "(2, 2)" "(2, 4)" "(2, 4)" "(2, 4)" "(2, 4)" "(4, 2)" "(4, 2)" "(4, 2)" "(4, 2)" "(4, 4)" "(4, 4)" "(4, 4)" "(4, 4)"
2 3.0 1.0 1.390117950000146 1.390117950000146 1.0 18.0 1.3922859999997286 1.3922859999997286 1.0 18.0 1.39412310000003 1.39412310000003 1.0 18.0 1.4021092000000124 1.4021092000000124 1.0 18.0
3 1.0 1.0 3.2449657499999773 7.353983299999896 15.0 26.0 1.903372549999858 5.9280274000000475 9.0 17.0 2.6070677999999816 6.035071149999908 12.0 22.0 1.6758071000000996 5.1329093500002045 7.0 15.0
3 1.0 2.0 1.9387612500000269 2.5820148500000073 13.0 18.0 1.1952138500000444 1.738819649999954 9.0 12.0 1.9736230499999579 2.570579200000083 9.0 17.0 1.272604350000023 2.073499600000389 7.0 12.0
3 1.0 3.0 0.9275811500000088 0.9275811500000088 7.0 9.0 1.3275307000000574 1.3275307000000574 9.0 13.0 0.8093129499999918 1.338235099999821 6.0 8.0 1.3671437999999223 1.865645750000006 8.0 13.0
3 1.0 4.0 0.7082255499998382 0.7082255499998382 5.0 7.0 0.8972322499999024 0.8972322499999024 7.0 9.0 0.4077497500000504 0.7378377499999544 3.0 3.0 0.8060360499999888 1.12245170000007 5.0 8.0
3 1.0 5.0     0.5280284999999196 0.5280284999999196 4.0 5.0 0.6990799999999524 0.6990799999999524 5.0 6.0 0.3566696499999579 0.3566696499999579 2.0 3.0
3 1.0 6.0     0.5252763999999388 0.5252763999999388 4.0 5.0 0.4198026500000935 0.4198026500000935 3.0 4.0 0.524859850000098 0.524859850000098 3.0 5.0
3 1.0 7.0     0.7089532500000146 0.7089532500000146 5.0 7.0 0.7160300000000603 0.7160300000000603 5.0 7.0 0.5209131500000126 0.5209131500000126 4.0 5.0
3 1.0 8.0     0.590196600000013 0.590196600000013 5.0 6.0 0.5091599000002134 0.5091599000002134 4.0 5.0 0.35057300000016767 0.35057300000016767 2.0 3.0
3 1.0 9.0             0.3516214499999677 0.3516214499999677 2.0 3.0
3 1.0 10.0             0.3569974500000086 0.3569974500000086 2.0 3.0
3 1.0 11.0             0.42182524999989823 0.42182524999989823 3.0 4.0
3 1.0 12.0             0.2631979999999601 0.2631979999999601 2.0 2.0
3 1.0 13.0             0.3531419499999231 0.3531419499999231 2.0 3.0
3 1.0 14.0             0.26017610000000246 0.26017610000000246 2.0 2.0
3 1.0 15.0             0.40915379999995594 0.40915379999995594 3.0 4.0
3 2.0 1.0 2.636227950000091 3.9948172999999443 12.0 28.0 2.655646450000031 4.003501200000031 12.0 28.0 1.964268400000208 3.412740349999808 7.0 22.0 1.9587795000000485 3.438417300000282 7.0 22.0
3 2.0 2.0 0.5029214499999739 0.5029214499999739 9.0 9.0 0.5040321499999862 0.5040321499999862 9.0 9.0 0.5977678500000252 0.5977678500000252 7.0 9.0 0.598062049999907 0.598062049999907 7.0 9.0
