strategy hasty hasty hasty hasty steady steady steady steady
 "Hierarchical Expansion Balance Normalised Deviation" "Hierarchical Expansion Balance Normalised Error" "Mean Expansion Factor Per Level" "Overall Hierarchical Expansion Factor" "Hierarchical Expansion Balance Normalised Deviation" "Hierarchical Expansion Balance Normalised Error" "Mean Expansion Factor Per Level" "Overall Hierarchical Expansion Factor"
online_bounds        
"(2, 2)" 0.3064369163636513 0.21668362156663273 2.1369565217391306 2.04939015319192 0.3108907369211868 0.21983294828505415 2.1314393939393943 2.0976176963403033
"(4, 2)" 0.1469971086337625 0.10394265232974906 1.992857142857143 1.9621416870348585 0.1611129374855425 0.11392405063291143 1.975 1.9621416870348585
"(4, 4)" 0.1982231023820947 0.14016489988221445 1.9295454545454547 1.91049731745428 0.1982231023820947 0.14016489988221445 1.9295454545454547 1.8973665961010275
"(6, 2)" 0.1469971086337625 0.10394265232974906 1.992857142857143 1.9621416870348585 0.1256725212907475 0.08886389201349831 2.0204545454545455 1.9874606914351791
"(6, 4)" 0.1794520119891353 0.1268917345750872 1.9522727272727276 1.91049731745428 0.1794520119891353 0.1268917345750872 1.9522727272727276 1.91049731745428
"(6, 6)" 0.1982231023820947 0.14016489988221445 1.9295454545454547 1.91049731745428 0.1658751094923704 0.11729141475211616 1.8795454545454544 1.8841443681416772
