strategy hasty hasty hasty steady steady steady
 QL_SCORE TI_SCORE GRADE QL_SCORE TI_SCORE GRADE
online_bounds      
"(2, 2)" 0.7613636363636364 1.0 0.7613636363636364 0.7444444444444445 1.0 0.7444444444444445
"(4, 2)" 0.8701298701298701 1.0 0.8701298701298701 0.8933333333333333 1.0 0.8933333333333333
"(4, 4)" 0.9178082191780822 1.0 0.9178082191780822 0.9436619718309859 1.0 0.9436619718309859
"(6, 2)" 0.8701298701298701 1.0 0.8701298701298701 0.8481012658227848 1.0 0.8481012658227848
"(6, 4)" 0.9178082191780822 1.0 0.9178082191780822 0.9178082191780822 1.0 0.9056762747103085
"(6, 6)" 0.9178082191780822 1.0 0.9178082191780822 0.9371087636932707 0.9774801315484527 0.9163530386562535
