strategy hasty hasty hasty hasty hasty hasty steady steady steady steady steady steady
 GT ST LT WT CT LE GT ST LT WT CT LE
online_bounds            
"(2, 2)" 12.821922199999733 2.1139684500001366 2.885613999999606 0.6105306736111071 14.940883549999684 84.0 12.958673200000007 2.113968000000085 2.941364850000184 0.6513160014069477 15.11190574999999 88.0
"(4, 2)" 11.31087269999992 2.1748441499994193 3.861242350000097 0.6458393409090826 13.566257949999994 77.0 11.276346750000386 2.2478614500000447 3.9095244499999353 0.67535314545453 13.61102850000016 77.0
"(4, 4)" 10.173847800000075 2.5256929499999323 4.2359789499998755 1.112795416666627 12.718836549999395 73.0 10.007238599999923 2.5988230000001096 4.286793849999896 1.30870077000003 12.665004350000359 72.0
"(6, 2)" 11.272221150000291 2.315867500000003 4.2067785000001265 0.6605456568181645 13.646224700000289 77.0 11.505499849999751 2.4370454500002836 4.2743835999995525 0.707329204761904 13.979922299999915 79.0
"(6, 4)" 10.169254950000152 2.645985799999977 4.605838949999878 1.207761486363642 12.848211299999905 73.0 10.167313600000114 2.8887839499999757 4.694563150000164 1.3351262600000435 13.099429000000185 73.0
"(6, 6)" 10.044394450000055 2.8351504000000105 4.799383300000301 1.665714718750017 12.87413355000012 73.0 9.805660250000201 3.0516870499996003 5.667757299999835 2.174540875000025 12.912962150000695 71.0
