 \Theta_h \Theta_h \Theta_s \Theta_s B_d B_d B_e B_e
strategy hasty steady hasty steady hasty steady hasty steady
online_bounds        
"(2, 2)" 4.4 4.5 2.0976176963403033 2.1213203435596424 0.30689423384188214 0.33579332902540865 0.22101801113620448 0.2442248280030374
"(4, 2)" 3.85 3.75 1.9621416870348585 1.9364916731037085 0.1469971086337625 0.1611129374855425 0.1055697753692224 0.11618950038622256
"(4, 4)" 3.65 3.55 1.91049731745428 1.8841443681416772 0.1982231023820947 0.1982231023820947 0.14156237906417152 0.14354236863563363
"(6, 2)" 3.85 3.95 1.9621416870348585 1.9874606914351791 0.14509179905235325 0.13584349938628168 0.1043287513640984 0.09700973263717948
"(6, 4)" 3.65 3.65 1.91049731745428 1.91049731745428 0.1794520119891353 0.1794520119891353 0.12966638082348467 0.12966638082348467
"(6, 6)" 3.65 3.575 1.91049731745428 1.8907670401189038 0.1982231023820947 0.1982231023820947 0.14156237906417152 0.1430395917191034
