strategy  hasty hasty hasty hasty hasty hasty hasty hasty hasty steady steady steady steady steady steady steady steady steady
  "Number of Problems" "Mean Problem Size Factor" "Problem Balance Normalised Deviation" "Problem Balance Normalised Error" "Complete-Plan Expansion Factor" "Partial-Plan Expansion Balance Normalised Deviation" "Partial-Plan Expansion Balance Normalised Error" "Sub-Plan Expansion Balance Normalised Deviation" "Sub-Plan Expansion Balance Normalised Error" "Number of Problems" "Mean Problem Size Factor" "Problem Balance Normalised Deviation" "Problem Balance Normalised Error" "Complete-Plan Expansion Factor" "Partial-Plan Expansion Balance Normalised Deviation" "Partial-Plan Expansion Balance Normalised Error" "Sub-Plan Expansion Balance Normalised Deviation" "Sub-Plan Expansion Balance Normalised Error"
online_bounds AL                  
"(2, 2)" 1.0 27.0 0.03703703703703704 0.1385724407928639 0.375652173913044 1.673913043478261 0.41789322182435973 0.6613600801862993 0.6571595650150573 0.9215083927525656 25.0 0.04 0.1331189721621486 0.1752958579881659 1.662878787878788 0.41720325208696185 0.41378897525238995 0.6304849554714056 0.9580370212580023
"(2, 2)" 2.0 10.0 0.1 0.0 0.0 2.6 0.6792882354987847 1.0679366858103374 0.9237791878316547 2.4351851851851842 10.0 0.1 0.0 0.0 2.6 0.6792882354987847 1.06060606060606 0.957675957621349 2.4351851851851847
"(2, 2)" 3.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0
"(4, 2)" 1.0 22.0 0.045454545454545456 0.0 0.0 1.785714285714286 0.4296053780320642 0.5611602324616023 0.6805975770473218 1.2808296269940105 21.0 0.04761904761904761 0.0 0.0 1.75 0.4425695070777486 0.6189576785467195 0.6984965888071504 1.3798701298701301
"(4, 2)" 2.0 5.0 0.2 0.0 0.0 2.2 0.619270176139554 0.4166666666666665 0.9625433902762094 2.428571428571428 5.0 0.2 0.0 0.0 2.2 0.619270176139554 0.3598484848484847 0.968684231786848 2.193181818181817
"(4, 2)" 3.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0
"(4, 4)" 1.0 12.0 0.08333333333333334 0.1342816265229085 0.2097902097902095 1.659090909090909 0.3071082899798365 0.2030769230769231 0.5877509360185635 1.1 10.0 0.1 0.117363131703255 0.09917355371900849 1.659090909090909 0.2220175251081421 0.2023047375160051 0.5858758080742702 1.1811955168119543
"(4, 4)" 2.0 5.0 0.2 0.0 0.0 2.2 0.6140570948230134 0.4450757575757574 0.968684231786848 2.5795454545454533 5.0 0.2 0.0 0.0 2.2 0.6096476091608596 0.3598484848484847 0.9625433902762094 2.068181818181817
"(4, 4)" 3.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0
"(6, 2)" 1.0 22.0 0.045454545454545456 0.0 0.0 1.785714285714286 0.4218085625874371 0.6397515527950312 0.6867101056666901 1.3214285714285714 21.0 0.04761904761904761 0.1435601063395796 0.1973140495867773 1.840909090909091 0.4342225141600579 0.5407062430085732 0.7164840931761532 1.2806029312053404
"(6, 2)" 2.0 4.0 0.25 0.0 0.0 2.2 0.5797311051426967 0.3238095238095238 0.9737753152069049 2.386363636363635 3.0 0.33333333333333337 0.08660254037844385 0.03750000000000003 2.2 0.5377600973508591 0.1193181818181819 0.9625433902762094 2.2727272727272716
"(6, 2)" 3.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0
"(6, 4)" 1.0 11.0 0.0909090909090909 0.1059456926727952 0.1011904761904763 1.704545454545455 0.27171298806807426 0.2194835680751175 0.6252853626056976 1.1489092128528744 10.0 0.1 0.117363131703255 0.1590909090909092 1.704545454545455 0.2236264650900929 0.17094301345261645 0.6053079562333948 1.148803890173752
"(6, 4)" 2.0 4.0 0.25 0.0 0.0 2.2 0.5797311051426967 0.3272727272727273 0.9635931483667911 2.406926406926406 3.0 0.33333333333333337 0.08660254037844385 0.03750000000000003 2.2 0.5377600973508591 0.1655844155844156 0.9737753152069049 2.464826839826839
"(6, 4)" 3.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0
"(6, 6)" 1.0 8.0 0.125 0.09718590614997251 0.126984126984127 1.659090909090909 0.23472698023016692 0.12143974960876361 0.6156103611641836 1.1913828425096034 6.0 0.16666666666666666 0.0 0.0 1.659090909090909 0.19345710511614927 0.1750000000000002 0.5948834926982205 1.3799835125322295
"(6, 6)" 2.0 4.0 0.25 0.0 0.0 2.2 0.5797311051426967 0.3272727272727273 0.9737753152069049 2.511363636363635 3.0 0.33333333333333337 0.08660254037844385 0.03750000000000003 2.1 0.5719082464154419 0.2321428571428572 0.9759000729485332 3.0119047619047614
"(6, 6)" 3.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0
