  QL_SCORE QL_SCORE TI_SCORE TI_SCORE GRADE GRADE
statistic  0.5 IQR 0.5 IQR 0.5 IQR
strategy online_bounds      
hasty "(2, 2)" 0.7976190476190477 0.12568542568542562 1.0 0.0 0.7976190476190477 0.12568542568542562
hasty "(4, 2)" 0.8701298701298701 0.045232067510548535 1.0 0.0 0.8701298701298701 0.045232067510548535
hasty "(4, 4)" 0.9178082191780822 0.044209917036465374 1.0 0.0 0.9178082191780822 0.044209917036465374
hasty "(6, 2)" 0.8701298701298701 0.045232067510548535 1.0 0.0 0.8701298701298701 0.045232067510548535
hasty "(6, 4)" 0.9178082191780822 0.024474885844748884 1.0 0.0 0.9178082191780822 0.024474885844748884
hasty "(6, 6)" 0.9178082191780822 0.025853752652903683 1.0 0.0038057022614370606 0.9178082191780822 0.02901142189502659
steady "(2, 2)" 0.7613636363636364 0.14888888888888885 1.0 0.0 0.7613636363636364 0.14888888888888885
steady "(4, 2)" 0.8701298701298701 0.03972491643377718 1.0 0.0 0.8701298701298701 0.03972491643377718
steady "(4, 4)" 0.930735095504534 0.025853752652903683 1.0 0.0 0.930735095504534 0.025853752652903683
steady "(6, 2)" 0.8481012658227848 0.040180498513831764 1.0 0.0 0.8481012658227848 0.040180498513831764
steady "(6, 4)" 0.9178082191780822 0.024474885844748884 1.0 0.0 0.9178082191780822 0.024474885844748884
steady "(6, 6)" 0.9436619718309859 0.025853752652903683 0.9772541423913237 0.005394458219372011 0.9215216817909981 0.02467517297862598
