problem ps15 ps15 ps15 ps15 ps15 ps15
 GT ST LT WT CT LE
planning_mode      
offline 6.130644000000132 11.601736399999933 17.73929970000006 17.73929970000006 17.73929970000006 39.0
online 72.9219356000001 44.968276049999716 1.7679707000001486 1.001283459374992 14.527451799999985 60.0
