strategy hasty hasty hasty hasty hasty hasty steady steady steady steady steady steady
 GT ST LT WT CT LE GT ST LT WT CT LE
online_bounds            
"(2, 2)" 12.734235599999863 2.1739706000005015 2.976481649999883 0.6028186852150833 14.99159875000191 79.0 12.263105000000422 2.2931120500000617 3.0900280500000576 0.6770422595238182 14.614824049999694 80.0
"(4, 2)" 11.463918000000035 2.298189349999859 3.9404814500007315 0.6461918978260861 13.778301250000165 77.0 11.248037000000295 2.3024528499999306 3.94595259999987 0.7056957880952572 13.592359750000014 77.0
"(4, 4)" 10.326107200000166 2.647186999999491 4.352285400000113 1.054065803846145 12.925704249998715 71.0 10.127921299999912 2.680734250000029 4.352030749999727 1.3587918800000496 12.83992464999983 73.0
"(6, 2)" 11.452458699999909 2.3355959499995436 4.226841600000341 0.6535018877470247 13.883873250001276 77.0 11.423901499999488 2.444770849999969 4.284246949999954 0.7002082195237895 13.791228749999565 79.0
"(6, 4)" 10.278128699999911 2.6357371500002955 4.5003491500000905 1.076296892307713 12.903259350000106 73.0 10.350243649999527 2.839233899999499 4.731771949999938 1.3420171650000041 13.23701274999985 75.0
"(6, 6)" 10.0762598000004 2.8327829500000594 4.783840450000227 1.4762951111112115 12.876206849999365 73.0 10.02625494999944 3.181715349999948 5.695492100000308 2.230256358333397 13.17967485000011 73.0
