strategy hasty hasty hasty hasty steady steady steady steady
 "Hierarchical Expansion Balance Normalised Deviation" "Hierarchical Expansion Balance Normalised Error" "Mean Expansion Factor Per Level" "Overall Hierarchical Expansion Factor" "Hierarchical Expansion Balance Normalised Deviation" "Hierarchical Expansion Balance Normalised Error" "Mean Expansion Factor Per Level" "Overall Hierarchical Expansion Factor"
online_bounds        
"(2, 2)" 0.32802845310528883 0.23195114361288313 2.0698872785829305 1.9874606914351791 0.2980629481234773 0.21076233183856494 2.064814814814815 2.0
"(4, 2)" 0.1540232592683569 0.1089108910891089 1.9839285714285717 1.9621416870348585 0.1611129374855425 0.11392405063291143 1.975 1.9621416870348585
"(4, 4)" 0.1982231023820947 0.14016489988221445 1.9295454545454547 1.8841443681416772 0.1982231023820947 0.14016489988221445 1.9295454545454547 1.91049731745428
"(6, 2)" 0.1611129374855425 0.11392405063291143 1.975 1.9621416870348585 0.14319113430171296 0.10125142207053488 1.9977272727272726 1.9874606914351791
"(6, 4)" 0.1794520119891353 0.1268917345750872 1.9522727272727276 1.91049731745428 0.1794520119891353 0.1268917345750872 1.9522727272727276 1.9364916731037085
"(6, 6)" 0.1982231023820947 0.14016489988221445 1.9295454545454547 1.91049731745428 0.1982231023820947 0.14016489988221445 1.9295454545454547 1.91049731745428
