strategy hasty hasty hasty steady steady steady
 QL_SCORE TI_SCORE GRADE QL_SCORE TI_SCORE GRADE
online_bounds      
"(2, 2)" 0.8482371794871795 1.0 0.8482371794871795 0.8375 1.0 0.8375
"(4, 2)" 0.8701298701298701 1.0 0.8701298701298701 0.8701298701298701 1.0 0.8701298701298701
"(4, 4)" 0.9436619718309859 1.0 0.9436619718309859 0.9178082191780822 1.0 0.9178082191780822
"(6, 2)" 0.8701298701298701 1.0 0.8701298701298701 0.8481012658227848 1.0 0.8481012658227848
"(6, 4)" 0.9178082191780822 1.0 0.9178082191780822 0.8933333333333333 1.0 0.8933333333333333
"(6, 6)" 0.9178082191780822 1.0 0.9178082191780822 0.9178082191780822 0.9765207077189655 0.9092139049444617
