  QL_SCORE QL_SCORE TI_SCORE TI_SCORE GRADE GRADE
statistic  0.5 IQR 0.5 IQR 0.5 IQR
strategy online_bounds      
hasty "(2, 2)" 0.8482371794871795 0.17949930586916885 1.0 0.0 0.8482371794871795 0.17949930586916885
hasty "(4, 2)" 0.8701298701298701 0.045232067510548535 1.0 0.0 0.8701298701298701 0.045232067510548535
hasty "(4, 4)" 0.9436619718309859 0.025853752652903683 1.0 0.0 0.9436619718309859 0.025853752652903683
hasty "(6, 2)" 0.8701298701298701 0.045232067510548535 1.0 0.0 0.8701298701298701 0.045232067510548535
hasty "(6, 4)" 0.9178082191780822 0.043865200334426646 1.0 0.0 0.9178082191780822 0.043865200334426646
hasty "(6, 6)" 0.9178082191780822 0.025853752652903683 1.0 0.0024942518389049484 0.9178082191780822 0.025853752652903683
steady "(2, 2)" 0.8375 0.18229833546734953 1.0 0.0 0.8375 0.18229833546734953
steady "(4, 2)" 0.8701298701298701 0.023203463203463226 1.0 0.0 0.8701298701298701 0.023203463203463226
steady "(4, 4)" 0.9178082191780822 0.025853752652903683 1.0 0.0 0.9178082191780822 0.025853752652903683
steady "(6, 2)" 0.8481012658227848 0.04296937630270958 1.0 0.0 0.8481012658227848 0.04296937630270958
steady "(6, 4)" 0.8933333333333333 0.04767834904821211 1.0 0.0 0.8933333333333333 0.04767834904821211
steady "(6, 6)" 0.9178082191780822 0.025853752652903683 0.9765207077189655 0.007491037814132739 0.9092139049444617 0.026922790209007896
