online_method   cf cf cf cf cf cf cf cf gf gf gf gf gf gf gf gf hy hy hy hy hy hy hy hy
   "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation"
strategy AL PN                        
hasty 2.0 9.0 0.2610299500000508 6.064725399999574   2.0 3.0 1.5 0.0 0.2302001499998596 5.8976691999999815   2.0 2.5 1.5 0.0 0.24699585000007568 5.847442649999692   2.0 3.0 1.5 0.3535533905932738
hasty 2.0 10.0 0.2476908999999523 6.332592800000462   2.0 3.0 1.5 0.7071067811865476 0.24333380000012989 6.227391000000125   2.0 2.5 1.5 0.0 0.24286715000000925 6.1273260000000676   2.0 2.0 1.0 0.0
hasty 2.0 11.0 0.2566806499997654 6.5897978500005365   2.0 2.5 1.25 0.0 0.2560617000000036 6.526871350001329   2.0 3.0 1.5 0.0 0.25663805000033335 6.394284100001414   2.0 3.0 1.5 0.7071067811865476
hasty 2.0 12.0 0.2610107000000426 7.321093300000427   2.0 3.0 1.5 0.7071067811865476 0.2568992000000208 6.837836600000287   2.0 3.0 1.5 0.7071067811865476 0.2570699999998851 6.65691039999956   2.0 3.0 1.5 0.7071067811865476
hasty 2.0 13.0 0.2598893999999063 7.445738100000113   2.0 3.0 1.5 0.7071067811865476 0.260515999999825 7.381673699999737   2.0 3.0 1.5 0.7071067811865476 0.2591888000000182 7.458536050000152   2.0 3.0 1.5 0.7071067811865476
hasty 2.0 14.0 0.259194999999977 7.545252099999857   2.0 3.0 1.5 0.7071067811865476 0.2621940999999879 7.851435399999986   2.0 3.0 1.5 0.7071067811865476 0.2580901999999838 7.838232700000191   2.0 3.0 1.5 0.7071067811865476
hasty 2.0 15.0         0.2599038999999266 8.197212199999854   2.0 3.0 1.5 0.0 0.2658993000000009 8.38585370000024   2.0 3.0 1.5 0.7071067811865476
hasty 2.0 16.0         0.27363050000005273 8.52773679999973   2.0 3.0 1.5 0.3535533905932738 0.4062021499998991 10.295767899998282   2.0 3.5 1.75 0.3535533905932738
hasty 2.0 17.0         0.3463155500001562 8.874052349999886   2.0 4.0 2.0 0.7071067811865475 0.190326699999332 9.668497999997044   2.0 2.0 1.0 0.0
hasty 2.0 18.0         0.22826305000000957 9.102315399999895   2.0 2.5 1.25 0.3535533905932738        
hasty 2.0 19.0         0.1918403000001945 9.499519000000419   2.0 2.0 1.0 0.0        
hasty 3.0 1.0 1.0240787500000579 1.0240787500000579   3.0 5.0 1.0 0.0 1.021741000000304 1.021741000000304   3.0 5.0 1.0 0.0 1.017672699999924 1.017672699999924   3.0 5.0 1.0 0.0
hasty 3.0 2.0 0.4205947500001912 1.40806890000016   4.0 6.0 2.0 1.0 0.4146254000003182 1.3953253999998765   4.0 6.0 1.666666666666667 0.9574271077563381 0.41482945000004173 1.3956248500002175   4.0 6.0 1.75 0.9574271077563381
hasty 3.0 3.0 0.49521169999995607 2.0873967499999395   5.0 7.0 1.8 0.8944271909999159 0.4999194000001239 2.080049950000131   5.0 8.0 2.0 1.0 0.4982817499997054 2.0759526000000506   5.0 8.0 1.8 0.8944271909999159
