online_method cf cf cf cf cf cf gf gf gf gf gf gf hy hy hy hy hy hy
 GT ST LT WT CT LE GT ST LT WT CT LE GT ST LT WT CT LE
strategy                  
hasty 67.28904250000002 15.236728550000777 4.24608669999968 0.9312316915584407 13.4827206000001 75.0 66.27938490000213 15.251794500000017 4.23158664999977 0.8239304448051623 13.38383279999951 74.0 65.67761095000009 15.059029000000137 4.182341149999843 0.8952043874999707 13.26660145000034 75.0
steady 67.25332059999931 15.612813900000809 4.316403499999836 0.9552986045454345 13.534886249999946 77.0 65.18748675000012 16.052270499999565 4.336789799999991 0.995975841125569 13.357754349999965 75.0 65.22020085000042 15.631282599999793 4.285914199999979 0.9827171813853492 13.36162754999998 75.0
