problem ps1 ps1 ps1 ps15 ps15 ps15
 QL_SCORE TI_SCORE GRADE QL_SCORE TI_SCORE GRADE
planning_mode      
classical 1.0 0.6991812196279591 0.6991812196279591 1.0 0.7231022862185748 0.7231022862185748
offline 1.0 0.7603093377005306 0.7603093377005306 1.0 0.6504241671735955 0.6504241671735955
online 0.9330014075334552 1.0 0.9330014075334552 0.8012005511424428 1.0 0.8012005511424428
