 \Theta_h \Theta_h \Theta_s \Theta_s B_d B_d B_e B_e
problem ps1 ps15 ps1 ps15 ps1 ps15 ps1 ps15
planning_mode        
classical 2.1666666666666665 2.6 1.4719601443879744 1.61245154965971 0.0 0.0 0.3206337795132425 0.37982632705395775
offline 2.1666666666666665 2.6 1.4719601443879744 1.61245154965971 0.02668327476175674 0.07109152557710348 0.01887128390241009 0.05033293577533093
online 2.2777777777777777 3.2666666666666666 1.509230856356236 1.8073922282301278 0.062009364121027095 0.2304810077918179 0.04388945267077256 0.1651831406456995
