problem ps1 ps1 ps1 ps1 ps2 ps2 ps2 ps2 ps3 ps3 ps3 ps3
 "Hierarchical Expansion Balance Normalised Deviation" "Hierarchical Expansion Balance Normalised Error" "Mean Expansion Factor Per Level" "Overall Hierarchical Expansion Factor" "Hierarchical Expansion Balance Normalised Deviation" "Hierarchical Expansion Balance Normalised Error" "Mean Expansion Factor Per Level" "Overall Hierarchical Expansion Factor" "Hierarchical Expansion Balance Normalised Deviation" "Hierarchical Expansion Balance Normalised Error" "Mean Expansion Factor Per Level" "Overall Hierarchical Expansion Factor"
planning_mode            
classical 0.0 0.0 1.0 1.4719601443879744 0.0 0.0 1.0 1.7159383568311668 0.0 0.0 1.0 1.8303005217723127
offline 0.02668327476175674 0.01886792452830205 1.4722222222222219 1.4719601443879744 0.10939396614815206 0.07735321528424993 1.7532679738562091 1.7480147469502525 0.1982231023820947 0.14016489988221445 1.9295454545454547 1.8841443681416772
online 0.2788116999452898 0.19714964370546342 1.799145299145299 1.7638342073763937 0.03268326159138303 0.023110555902560774 1.933574879227053 2.0138409955990952 0.08355309887105801 0.05908096280087519 2.0772727272727276 2.1095023109728985
