problem ps1 ps1 ps1 ps2 ps2 ps2 ps3 ps3 ps3
 QL_SCORE TI_SCORE GRADE QL_SCORE TI_SCORE GRADE QL_SCORE TI_SCORE GRADE
search_mode         
minbound 1.0 0.7599816002857795 0.7599816002857795 1.0 0.656323826678401 0.6464413943151559 0.9436619718309859 0.4863797177799281 0.4604663669874923
standard 1.0 0.7349695637405643 0.7349695637405643 0.9818181818181818 0.6046122517150907 0.5890055495540871 0.930735095504534 0.4364569605530828 0.4048436736612864
yield 1.0 0.719534736563875 0.719534736563875 0.9636363636363636 0.6241469969613588 0.6016218298615517 0.930735095504534 0.4729501292260563 0.4353056312837566
