 RU AL GT ST OT TT LT CT WT RSS VMS LE AC CF PSG CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A DS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX
10 3 2 4.038423200000011 2.1966452999999717 0.20896380000002068 6.4440323000000035 10.249003599999952 10.249003599999952 10.249003599999952 442.34375 442.96875 42 42 1.0 42 2.1 2.1 2.04939015319192 2.04939015319192 0.9759000729485332 0.9759000729485332 1.0 1.0 1.0 1.0 1.0 1.0 3.0 3.0 10.0 10.0 1 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 42.0 0.0 0.0 42.0 42.0 42.0 42.0 42.0
11 3 1 10.805503299999884 6.0273336999999 0.49078479999977276 17.323621799999557 27.57262539999951 27.57262539999951 27.57262539999951 622.76171875 625.6796875 69 69 1.0 0 1.6428571428571428 1.6428571428571428 0.9323829573164005 0.9323829573164005 0.5675374522795482 0.5675374522795482 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12 4 3 1.2387596999998607 1.4696074000000579 0.0 2.7083670999999185 2.7083670999999185 2.7083670999999185 2.7083670999999185 449.609375 440.50390625 20 20 1.0 20 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0
13 4 2 4.0104739999999595 2.2312873999999283 0.21088500000004728 6.452646399999935 9.161013499999854 9.161013499999854 9.161013499999854 486.78125 480.3125 44 44 1.0 44 2.2 2.2 2.0925934551223877 2.0925934551223877 0.9511788432374488 0.9511788432374488 1.0 1.0 1.0 1.0 1.5 1.5 2.25 2.25 10.0 10.0 1 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 44.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0
14 4 1 11.304510499999964 7.999732499999823 0.5567972000000623 19.86104019999985 29.022053699999702 29.022053699999702 29.022053699999702 664.61328125 664.70703125 73 73 1.0 0 1.6590909090909092 1.6590909090909092 0.9631146619216513 0.9631146619216513 0.5805074674596254 0.5805074674596254 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
15 5 3 1.2193295999999236 1.5444487000000038 0.0 2.7637782999999274 2.7637782999999274 2.7637782999999274 2.7637782999999274 474.91015625 466.2109375 20 20 1.0 20 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0
16 5 2 4.1643242000000384 1.794747099999853 0.21085900000002766 6.169930299999919 8.933708599999846 8.933708599999846 8.933708599999846 510.48828125 505.7109375 44 44 1.0 44 2.2 2.2 2.0416711421361615 2.0416711421361615 0.9280323373346188 0.9280323373346188 1.0 1.0 1.0 1.0 2.0 2.0 2.25 2.25 10.0 10.0 1 4.0 0.0 0.0 4.0 4.0 4.0 4.0 4.0 44.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0
17 5 1 11.198539500000066 7.434029000000038 0.7918784000001438 19.424446900000248 28.358155500000095 28.358155500000095 28.358155500000095 685.40234375 690.41796875 73 73 1.0 0 1.6590909090909092 1.6590909090909092 0.9386576714124697 0.9386576714124697 0.5657662677006666 0.5657662677006666 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
18 6 3 1.1654984000000468 1.510602099999943 0.0 2.67610049999999 2.67610049999999 2.67610049999999 2.67610049999999 499.5859375 490.75390625 20 20 1.0 20 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0
19 6 2 4.129313000000053 2.4682044999999846 0.22111300000008782 6.8186305000001255 9.494731000000115 9.494731000000115 9.494731000000115 539.08203125 532.546875 44 44 1.0 44 2.2 2.2 2.0416711421361615 2.0416711421361615 0.9280323373346188 0.9280323373346188 1.0 1.0 1.0 1.0 2.0 2.0 2.25 2.25 10.0 10.0 1 4.0 0.0 0.0 4.0 4.0 4.0 4.0 4.0 44.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0
