 RU AL GT ST TT LT CT WT RSS VMS LE AC PSG CPE_L CPE_A SPD_L SPD_A SPB_L SPB_A DS_T DS_MTD DS_DTD DS_BTD DS_MINTD DS_MEDTD DS_MAXTD DS_MTS DS_DTS DS_BTS DS_MINTS DS_MEDTS DS_MAXTS
0 0 3 1.24017589999999 1.8242555999999865 3.0644314999999764 3.0644314999999764 3.0644314999999764 3.0644314999999764 245.0390625 236.74609375 20 20 20 1.0 1.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 1 1.0 1 19.0 0.0 0.0 19 19.0 19
1 0 2 4.651057600000016 2.264550999999983 6.915608599999999 6.337964399999976 9.980040099999975 5.023632349999989 208.89453125 200.51171875 44 44 44 2.2 2.2 2.0416711421361615 2.0416711421361615 0.7754069949945361 1.0 2 1.0 0.0 0.0 1 1.0 1 21.0 2.8284271247461903 0.13468700594029479 19 21.0 23
2 0 1 15.325883800000021 4.7017535000000095 20.02763730000003 11.469730699999978 30.007677400000006 6.138777525000004 218.92578125 208.625 73 73 0 1.6590909090909092 1.6590909090909092 0.9386576714124697 0.9386576714124697 1.018799783751334 1.0 0 0.0 1.0 1.0 0 0.0 0 0.0 1.0 1.0 0 0.0 0
3 1 3 1.568858600000027 1.590426899999997 3.159285500000024 3.159285500000024 3.159285500000024 3.159285500000024 264.71484375 256.5 20 20 20 1.0 1.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 1 1.0 1 19.0 0.0 0.0 19 19.0 19
4 1 2 4.491335699999979 4.115014099999982 8.606349799999961 10.176890299999997 11.765635299999985 5.909046599999996 263.31640625 256.98828125 44 44 44 2.2 2.2 2.015727634065883 2.015727634065883 0.7794309736863712 1.0 2 1.0 0.0 0.0 1 1.0 1 21.0 11.313708498984761 0.5387480237611791 13 21.0 29
5 1 1 17.706151700000092 6.258322300000017 23.96447400000011 16.540979300000018 35.730109300000095 7.059633375000008 277.6953125 267.24609375 71 71 0 1.6136363636363635 1.6136363636363635 0.9204627019188114 0.9204627019188114 1.0251465111504783 1.0 0 0.0 1.0 1.0 0 0.0 0 0.0 1.0 1.0 0 0.0 0
6 2 3 1.4380725999999555 1.958130999999966 3.3962035999999216 3.3962035999999216 3.3962035999999216 3.3962035999999216 298.72265625 288.73828125 20 20 20 1.0 1.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 1 1.0 1 19.0 0.0 0.0 19 19.0 19
7 2 2 4.5076182000000244 4.034077200000013 8.541695400000037 10.50023159999995 11.937898999999959 5.985717949999994 295.796875 285.54296875 42 42 42 2.1 2.1 2.074912807299318 2.074912807299318 0.7638598811775952 1.0 2 1.0 0.0 0.0 1 1.0 1 20.0 14.142135623730951 0.7071067811865476 10 20.0 30
8 2 1 15.763924099999784 12.945888899999886 28.70981299999967 16.22116899999989 40.64771199999963 8.257773274999934 304.40234375 293.9609375 69 69 0 1.6428571428571428 1.6428571428571428 0.9323829573164005 0.9323829573164005 1.021242450136466 1.0 0 0.0 1.0 1.0 0 0.0 0 0.0 1.0 1.0 0 0.0 0
9 3 3 1.5140065000000504 2.0102330999999936 3.524239600000044 3.524239600000044 3.524239600000044 3.524239600000044 342.26953125 332.203125 20 20 20 1.0 1.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 1 1.0 1 19.0 0.0 0.0 19 19.0 19
10 3 2 4.268592600000005 2.643380099999945 6.91197269999995 7.74082249999995 10.436212299999994 5.233893149999986 340.87109375 330.8046875 44 44 44 2.2 2.2 2.0416711421361615 2.0416711421361615 0.7754069949945361 1.0 2 1.0 0.0 0.0 1 1.0 1 21.0 5.656854249492381 0.26937401188058957 17 21.0 25
11 3 1 13.949453400000039 5.020140799999808 18.969594199999847 12.875798299999872 29.40580649999984 6.2359854249999955 346.35546875 336.1015625 75 75 0 1.7045454545454546 1.7045454545454546 1.1118713631164323 1.1118713631164323 0.9691191311523606 1.0 0 0.0 1.0 1.0 0 0.0 0 0.0 1.0 1.0 0 0.0 0
12 4 3 1.315833199999986 1.5587163000000146 2.8745495000000005 2.8745495000000005 2.8745495000000005 2.8745495000000005 365.8046875 355.34765625 20 20 20 1.0 1.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 1 1.0 1 19.0 0.0 0.0 19 19.0 19
13 4 2 4.1506931999999495 5.63090970000016 9.78160290000011 11.449553300000105 12.65615240000011 6.364705150000063 364.40625 353.94921875 42 42 42 2.1 2.1 2.04939015319192 2.04939015319192 0.7678639897471886 1.0 2 1.0 0.0 0.0 1 1.0 1 20.0 14.142135623730951 0.7071067811865476 10 20.0 30
14 4 1 15.44492860000014 20.877924000000036 36.322852600000175 24.163315900000157 48.979005000000285 10.295270450000075 369.2578125 358.86328125 71 71 0 1.6904761904761905 1.6904761904761905 0.9496622053642698 0.9496622053642698 1.015338400166552 1.0 0 0.0 1.0 1.0 0 0.0 0 0.0 1.0 1.0 0 0.0 0
