 RU AL GT ST TT RSS VMS LE AC PSG
0 0 3 1.2992452999999988 0.15873360000000014 1.457978899999999 141.35546875 128.53125 14 21 21
1 0 2 4.015363800000008 0.6891703000000033 4.704534100000012 121.69140625 109.18359375 30 47 47
2 0 1 19.71160910000003 3.5347725999999735 23.2463817 136.85546875 124.3984375 60 78 0
