 \Theta_h \Theta_h \Theta_h \Theta_s \Theta_s \Theta_s B_d B_d B_d B_e B_e B_e
problem ps1 ps2 ps3 ps1 ps2 ps3 ps1 ps2 ps3 ps1 ps2 ps3
search_mode            
minbound 2.1666666666666665 2.9444444444444446 3.55 1.4719601443879744 1.7159383568311668 1.8841443681416772 0.02668327476175674 0.1353891656869029 0.20503468004665687 0.01887128390241009 0.09617634519419967 0.14785036289240525
standard 2.1666666666666665 3.0555555555555554 3.55 1.4719601443879744 1.7480147469502525 1.8841443681416772 0.02668327476175674 0.10939396614815206 0.1982231023820947 0.01887128390241009 0.07758568128174935 0.14354236863563363
yield 2.1666666666666665 3.0555555555555554 3.65 1.4719601443879744 1.7480147469502525 1.91049731745428 0.02668327476175674 0.10939396614815206 0.1982231023820947 0.01887128390241009 0.07758568128174935 0.14156237906417152
