strategy hasty hasty hasty steady steady steady
 QL_SCORE TI_SCORE GRADE QL_SCORE TI_SCORE GRADE
online_bounds      
"(2, 2)" 0.8271604938271605 0.9619919163608981 0.7951888260602187 0.7702167019027484 0.9576007294216553 0.7342849392026971
"(4, 2)" 0.8481012658227848 0.9713385453860267 0.8255891610348527 0.8591155679763274 0.972644966122224 0.8315811226221852
"(4, 4)" 0.8933333333333333 0.9627933136367709 0.861343262149989 0.9178082191780822 0.963777498695989 0.8840343188722055
"(6, 2)" 0.8481012658227848 0.9701970312999031 0.8257427651427588 0.8481012658227848 0.9705386645620178 0.8254062220306464
"(6, 4)" 0.8933333333333333 0.9625025260644959 0.8630464213914588 0.8933333333333333 0.9613552818960539 0.8599935544318628
"(6, 6)" 0.9178082191780822 0.9591197826451106 0.881241240271609 0.9178082191780822 0.9479843449134524 0.8697334174852975
