strategy hasty hasty hasty hasty hasty hasty steady steady steady steady steady steady
 GT ST LT WT CT LE GT ST LT WT CT LE
online_bounds            
"(2, 2)" 12.578105300000004 2.2071510500009026 6.350613050000035 0.6720506127777675 15.081767400000103 81.0 13.26033414999955 2.2154549499998666 6.594614800000045 0.6665888621211904 15.778830899999914 87.0
"(4, 2)" 11.687176550000231 2.250035799999715 5.905035250000765 0.6864528956709834 13.924867549999874 79.0 11.5114384500001 2.248999699999583 5.84989174999977 0.6743877590908934 13.82317010000094 78.0
"(4, 4)" 10.497013699999428 2.676913200000076 6.308627449999506 1.2407704590908368 13.161560349999721 75.0 10.31452710000076 2.6205076499999507 6.258100699999943 1.262790486363666 12.98258450000003 73.0
"(6, 2)" 11.603467400000795 2.41536870000013 5.9545660999999654 0.6906872548701328 14.12661245000021 79.0 11.558183400000502 2.462290200000524 5.939622600000575 0.6832990272727271 14.013338399999926 79.0
"(6, 4)" 10.440521150000137 2.7916850500001837 6.323805250000291 1.246769531818187 13.197504549999564 75.0 10.423724499999793 2.870834849999781 6.384535549999981 1.2590019454544785 13.30777199999973 75.0
"(6, 6)" 10.174222149999537 2.9351596000000946 6.507429750000057 1.708106637500041 13.177444500000036 73.0 10.152111649999597 3.0715372500001337 7.220891600000044 1.9350518642857009 13.281185549999975 73.0
