 \Theta_h \Theta_h \Theta_s \Theta_s B_d B_d B_e B_e
strategy hasty steady hasty steady hasty steady hasty steady
online_bounds        
"(2, 2)" 4.55 4.65 2.1330729007701543 2.1563858652847827 0.27863687288391853 0.27863687288391853 0.20255529815005652 0.2003654468094206
"(4, 2)" 3.95 3.85 1.9874606914351791 1.9621416870348585 0.14319113430171296 0.14319113430171296 0.10177445427947711 0.10308772735897442
"(4, 4)" 3.65 3.75 1.91049731745428 1.9364916731037085 0.18521524011495882 0.1794520119891353 0.1333484755170308 0.12792581355654792
"(6, 2)" 3.9 3.85 1.9748417658131499 1.9621416870348585 0.14319113430171296 0.1469971086337625 0.10242477689823463 0.1055697753692224
"(6, 4)" 3.75 3.75 1.9364916731037085 1.9364916731037085 0.1794520119891353 0.1794520119891353 0.12792581355654792 0.12792581355654792
"(6, 6)" 3.65 3.65 1.91049731745428 1.91049731745428 0.1982231023820947 0.18521524011495882 0.14156237906417152 0.1333484755170308
