  QL_SCORE QL_SCORE TI_SCORE TI_SCORE GRADE GRADE
statistic  0.5 IQR 0.5 IQR 0.5 IQR
strategy online_bounds      
hasty "(2, 2)" 0.8271604938271605 0.1353353083759763 0.9619919163608981 0.012442551596985374 0.7951888260602187 0.1387330394265749
hasty "(4, 2)" 0.8481012658227848 0.04296937630270958 0.9713385453860267 0.004070064719398081 0.8255891610348527 0.04229644203543892
hasty "(4, 4)" 0.8933333333333333 0.024474885844748884 0.9627933136367709 0.004717094206127648 0.861343262149989 0.0309563409494491
hasty "(6, 2)" 0.8481012658227848 0.04296937630270958 0.9701970312999031 0.0036268082626731424 0.8257427651427588 0.036154788557387185
hasty "(6, 4)" 0.8933333333333333 0.024474885844748884 0.9625025260644959 0.006818833876881869 0.8630464213914588 0.031870083478016786
hasty "(6, 6)" 0.9178082191780822 0.019390314489677762 0.9591197826451106 0.009343061228092364 0.881241240271609 0.02266638655818809
steady "(2, 2)" 0.7702167019027484 0.11439453638035202 0.9576007294216553 0.013182899342970678 0.7342849392026971 0.12194206447457656
steady "(4, 2)" 0.8591155679763274 0.045232067510548535 0.972644966122224 0.00474556823337724 0.8315811226221852 0.04168891410276665
steady "(4, 4)" 0.9178082191780822 0.024474885844748884 0.963777498695989 0.003337081080738602 0.8840343188722055 0.02742284017748753
steady "(6, 2)" 0.8481012658227848 0.02202860430708531 0.9705386645620178 0.006304964236940602 0.8254062220306464 0.030920563354604136
steady "(6, 4)" 0.8933333333333333 0.0418774832473463 0.9613552818960539 0.004026979576732925 0.8599935544318628 0.03874100688792692
steady "(6, 6)" 0.9178082191780822 0.05032863849765257 0.9479843449134524 0.0028233247313567134 0.8697334174852975 0.04373560886325911
