 \Theta_h \Theta_h \Theta_s \Theta_s B_d B_d B_e B_e
strategy hasty steady hasty steady hasty steady hasty steady
online_bounds        
"(2, 2)" 4.05 4.35 2.0124611797498106 2.085665361461421 0.18775426309878362 0.25888024364167106 0.13394803343477008 0.18917954178173316
"(4, 2)" 3.95 3.9 1.9874606914351791 1.9748417658131499 0.13584349938628168 0.14319113430171296 0.09700973263717948 0.10242477689823463
"(4, 4)" 3.75 3.65 1.9364916731037085 1.91049731745428 0.1794520119891353 0.1794520119891353 0.12792581355654792 0.12966638082348467
"(6, 2)" 3.95 3.95 1.9874606914351791 1.9874606914351791 0.14319113430171296 0.14319113430171296 0.10177445427947711 0.10177445427947711
"(6, 4)" 3.75 3.75 1.9364916731037085 1.9364916731037085 0.1794520119891353 0.1794520119891353 0.12792581355654792 0.12792581355654792
"(6, 6)" 3.65 3.65 1.91049731745428 1.91049731745428 0.1982231023820947 0.1982231023820947 0.14156237906417152 0.14156237906417152
