  QL_SCORE QL_SCORE TI_SCORE TI_SCORE GRADE GRADE
statistic  0.5 IQR 0.5 IQR 0.5 IQR
strategy online_bounds      
hasty "(2, 2)" 0.7362637362637363 0.11439453638035202 1.0 0.0 0.7362637362637363 0.11439453638035202
hasty "(4, 2)" 0.8481012658227848 0.06093764650726674 1.0 0.0 0.8481012658227848 0.06093764650726674
hasty "(4, 4)" 0.9178082191780822 0.05032863849765257 1.0 0.0 0.9178082191780822 0.05032863849765257
hasty "(6, 2)" 0.8591155679763274 0.045232067510548535 1.0 0.0 0.8591155679763274 0.044942164196292045
hasty "(6, 4)" 0.8933333333333333 0.024474885844748884 1.0 0.0 0.8933333333333333 0.024474885844748884
hasty "(6, 6)" 0.9178082191780822 0.025853752652903683 1.0 0.007772209003454322 0.9178082191780822 0.026468163593798666
steady "(2, 2)" 0.720513413506013 0.08485309017223919 1.0 0.0 0.720513413506013 0.08485309017223919
steady "(4, 2)" 0.8701298701298701 0.02202860430708531 1.0 0.0 0.8701298701298701 0.02202860430708531
steady "(4, 4)" 0.8933333333333333 0.024474885844748884 1.0 0.0 0.8933333333333333 0.024474885844748884
steady "(6, 2)" 0.8701298701298701 0.02202860430708531 1.0 0.0 0.8701298701298701 0.02202860430708531
steady "(6, 4)" 0.8933333333333333 0.024474885844748884 1.0 0.0 0.8933333333333333 0.024474885844748884
steady "(6, 6)" 0.9178082191780822 0.043865200334426646 0.9824231549123179 0.008118365258213966 0.9009941841549358 0.03261014230292825
