 \Theta_h \Theta_h \Theta_s \Theta_s B_d B_d B_e B_e
strategy hasty steady hasty steady hasty steady hasty steady
online_method        
cf 3.85 3.85 1.9621416870348585 1.9621416870348585 0.1611129374855425 0.16481436253220277 0.11467061807346579 0.1170300958116029
gf 3.7 3.75 1.9235384061671346 1.9364916731037085 0.18521524011495882 0.18521524011495882 0.13244440763184276 0.13155848191879177
hy 3.75 3.75 1.9364916731037085 1.9364916731037085 0.1794520119891353 0.18521524011495882 0.12792581355654792 0.13155848191879177
