strategy hasty hasty hasty steady steady steady
 QL_SCORE TI_SCORE GRADE QL_SCORE TI_SCORE GRADE
online_method      
cf 0.8713063185529132 0.9646571858988676 0.8420252793418145 0.867730551231893 0.9623169142685654 0.8341722624408158
gf 0.8946292216556784 1.0 0.8946292216556784 0.880780151273692 0.9960867846198275 0.8793477655680887
hy 0.8758413390262705 1.0 0.8758413390262705 0.8807429997171502 0.9962466885914089 0.8752617214663517
