strategy hasty hasty hasty hasty hasty hasty steady steady steady steady steady steady
 GT ST LT WT CT LE GT ST LT WT CT LE
online_method            
cf 67.38299624999982 15.595566149998675 6.245531650000192 0.9513600601731415 13.676241800000295 77.0 67.49940990000086 15.936697050001015 6.271065799999803 0.9616790659090823 13.69897149999889 77.0
gf 66.27938490000213 15.251794500000017 4.23158664999977 0.8239304448051623 13.38383279999951 74.0 65.18748675000012 16.052270499999565 4.336789799999991 0.995975841125569 13.357754349999965 75.0
hy 66.79483609999986 15.47337159999924 4.232463850000293 0.8971284878787883 13.427360400002325 75.0 66.83523694999839 16.17112850000018 4.32279779999979 0.9878128132034677 13.481962349999636 75.0
