[04-02-2022_21-14-36] INFO :: Experiment >> 

          ========================================          
                    Experimental Results                    
          ========================================          

               ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~               
                     Concatenated Plans                     

 RU  AL  LE  AC  CF       GT       ST       OT        TT        LT        CT       WT         RSS         VMS  QL_SCORE  LT_SCORE  CT_SCORE  AW_SCORE  AME_SCORE  LT_GRADE  CT_GRADE  AW_GRADE  AME_GRADE    GRADE
  9   2  44  44 1.0 3.493286 1.715099 0.015405  5.223790  4.673613  7.170114 3.599198  423.093750  416.578125  0.954545  1.000000  0.846073       1.0        1.0  0.954545  0.807615  0.954545   0.954545 0.954545
  9   1  71  71 1.0 6.994765 1.405540 0.029224  8.429530  6.508662 15.599644 1.983620  417.250000  408.722656  0.943662  0.877294  0.673009       1.0        1.0  0.827869  0.635093  0.943662   0.943662 0.905064
 10   3  20  20 1.0 1.139605 0.705352 0.000000  1.844957  1.844957  1.844957 1.844957  415.761719  404.792969  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 10   2  42  42 1.0 3.305726 1.373288 0.015189  4.694203  4.870842  6.539160 3.283726  437.507812  428.191406  1.000000  1.000000  0.875682       1.0        1.0  1.000000  0.875682  1.000000   1.000000 1.000000
 10   1  71  71 1.0 7.011895 1.585062 0.027224  8.624180  6.669686 15.163340 1.929063  430.761719  419.980469  0.943662  0.868994  0.678124       1.0        1.0  0.820037  0.639920  0.943662   0.943662 0.902454
 11   3  20  20 1.0 1.139172 0.892066 0.000000  2.031238  2.031238  2.031238 2.031238  429.855469  418.847656  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 11   2  42  42 1.0 3.482252 3.061741 0.014250  6.558243  7.413717  8.589481 4.308973  466.277344  463.957031  1.000000  0.836196  0.796710       1.0        1.0  0.836196  0.796710  1.000000   1.000000 0.945399
 11   1  71  71 1.0 7.163519 1.768636 0.027402  8.959557  9.389254 17.549038 2.227104  457.839844  449.488281  0.943662  0.775279  0.652285       1.0        1.0  0.731601  0.615536  0.943662   0.943662 0.872975
 12   3  20  20 1.0 1.136741 0.768753 0.000000  1.905494  1.905494  1.905494 1.905494  452.765625  442.027344  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 12   2  44  44 1.0 3.556462 1.982435 0.015355  5.554251  6.014450  7.459745 3.744366  474.558594  464.949219  0.954545  0.906565  0.834409       1.0        1.0  0.865357  0.796481  0.954545   0.954545 0.924816
 12   1  71  71 1.0 7.057024 1.766070 0.029653  8.852746  7.978308 16.312491 2.072744  471.289062  464.343750  0.943662  0.815776  0.665052       1.0        1.0  0.769817  0.627585  0.943662   0.943662 0.885714
 13   3  20  20 1.0 1.130200 0.725075 0.000000  1.855275  1.855275  1.855275 1.855275  466.992188  457.332031  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 13   2  42  42 1.0 3.488973 3.098607 0.013641  6.601221  7.509868  8.456496 4.242582  502.613281  501.843750  1.000000  0.832490  0.800633       1.0        1.0  0.832490  0.800633  1.000000   1.000000 0.944163
 13   1  71  71 1.0 7.160262 1.996465 0.027144  9.183870  9.779237 17.640366 2.238785  496.070312  490.593750  0.943662  0.765958  0.651388       1.0        1.0  0.722805  0.614690  0.943662   0.943662 0.870043
 14   3  20  20 1.0 1.127708 1.046862 0.000000  2.174570  2.174570  2.174570 2.174570  485.300781  475.910156  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 14   2  44  44 1.0 3.487303 1.167802 0.015438  4.670543  4.673450  6.845113 3.436689  509.113281  504.023438  0.954545  1.000000  0.860503       1.0        1.0  0.954545  0.821390  0.954545   0.954545 0.954545
 14   1  73  73 1.0 7.189766 1.196084 0.029430  8.415279  6.464024 15.260392 1.941394  502.503906  493.218750  0.917808  0.879689  0.676969       1.0        1.0  0.807386  0.621328  0.917808   0.917808 0.881001
 15   3  20  20 1.0 1.127950 0.856284 0.000000  1.984234  1.984234  1.984234 1.984234  498.035156  488.683594  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 15   2  44  44 1.0 3.512398 2.283271 0.014722  5.810392  5.441485  7.794626 3.911597  521.000000  513.546875  0.954545  0.951214  0.822083       1.0        1.0  0.907977  0.784715  0.954545   0.954545 0.939023
 15   1  75  75 1.0 7.451652 1.338352 0.029528  8.819533  7.278513 16.614159 2.110602  515.882812  507.140625  0.893333  0.841587  0.661823       1.0        1.0  0.751818  0.591229  0.893333   0.893333 0.846162
 16   3  20  20 1.0 1.137024 0.714193 0.000000  1.851216  1.851216  1.851216 1.851216  513.984375  504.550781  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 16   2  44  44 1.0 3.564928 2.396885 0.015411  5.977224  6.636449  7.828440 3.928354  546.593750  545.960938  0.954545  0.870665  0.820899       1.0        1.0  0.831090  0.783586  0.954545   0.954545 0.913394
 16   1  73  73 1.0 7.298921 1.998686 0.028874  9.326480  8.650681 17.154920 2.177863  534.734375  528.082031  0.917808  0.794943  0.656223       1.0        1.0  0.729605  0.602287  0.917808   0.917808 0.855074
 17   3  20  20 1.0 1.138424 0.717728 0.000000  1.856152  1.856152  1.856152 1.856152  528.886719  519.507812  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 17   2  44  44 1.0 3.545492 1.639716 0.015374  5.200581  5.241101  7.056734 3.542636  554.269531  545.660156  0.954545  0.971183  0.850932       1.0        1.0  0.927038  0.812253  0.954545   0.954545 0.945376
 17   1  75  75 1.0 7.434750 1.678767 0.029803  9.143321  7.091992 16.200054 2.058830  549.457031  540.851562  0.893333  0.849402  0.666276       1.0        1.0  0.758799  0.595207  0.893333   0.893333 0.848489
 18   3  20  20 1.0 1.139260 0.779075 0.000000  1.918336  1.918336  1.918336 1.918336  544.562500  535.253906  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 18   2  42  42 1.0 3.341932 1.518602 0.015194  4.875728  5.134342  6.794063 3.411128  566.156250  558.257812  1.000000  0.983183  0.862919       1.0        1.0  0.983183  0.862919  1.000000   1.000000 0.994394
 18   1  69  69 1.0 6.795360 1.147899 0.027528  7.970787  6.941600 14.764850 1.879085  558.710938  549.406250  0.971014  0.856054  0.682973       1.0        1.0  0.831241  0.663177  0.971014   0.971014 0.924423
 19   3  20  20 1.0 1.141067 0.772487 0.000000  1.913554  1.913554  1.913554 1.913554  557.664062  548.273438  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 19   2  44  44 1.0 3.501367 1.279057 0.015732  4.796156  4.390909  6.709710 3.369095  582.167969  576.148438  0.954545  1.000000  0.867009       1.0        1.0  0.954545  0.827599  0.954545   0.954545 0.954545
 19   1  73  73 1.0 7.170743 1.620254 0.029777  8.820774  6.595754 15.530484 1.975002  574.203125  564.863281  0.917808  0.872741  0.673807       1.0        1.0  0.801009  0.618425  0.917808   0.917808 0.878875
 20   3  20  20 1.0 1.134542 0.750615 0.000000  1.885157  1.885157  1.885157 1.885157  571.109375  562.800781  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 20   2  44  44 1.0 3.561320 1.448982 0.015923  5.026225  5.456778  6.911381 3.469952  596.371094  587.519531  0.954545  0.949807  0.857432       1.0        1.0  0.906634  0.818457  0.954545   0.954545 0.938575
 20   1  73  73 1.0 7.261943 2.091110 0.028645  9.381698  7.814825 16.293079 2.070356  590.800781  584.062500  0.917808  0.821375  0.665263       1.0        1.0  0.753864  0.610584  0.917808   0.917808 0.863160
 21   3  20  20 1.0 1.129674 0.688496 0.000000  1.818170  1.818170  1.818170 1.818170  586.847656  577.457031  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 21   2  44  44 1.0 3.530346 1.386203 0.015528  4.932076  4.948380  6.750246 3.389619  609.437500  602.222656  0.954545  1.000000  0.865028       1.0        1.0  0.954545  0.825708  0.954545   0.954545 0.954545
 21   1  75  75 1.0 7.435521 2.089261 0.030377  9.555160  6.767474 16.305405 2.071903  603.843750  595.332031  0.893333  0.864195  0.665129       1.0        1.0  0.772014  0.594182  0.893333   0.893333 0.852894
 22   3  20  20 1.0 1.123698 0.706985 0.000000  1.830683  1.830683  1.830683 1.830683  600.125000  590.929688  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 22   2  44  44 1.0 3.512351 1.549819 0.014943  5.077113  4.985724  6.907796 3.468121  623.234375  616.628906  0.954545  1.000000  0.857596       1.0        1.0  0.954545  0.818614  0.954545   0.954545 0.954545
 22   1  73  73 1.0 7.237703 2.145668 0.030149  9.413520  6.843762 16.321316 2.073902  618.468750  610.226562  0.917808  0.860567  0.664957       1.0        1.0  0.789835  0.610303  0.917808   0.917808 0.875151
 23   3  20  20 1.0 1.131582 0.714932 0.000000  1.846514  1.846514  1.846514 1.846514  616.468750  607.367188  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
