[04-02-2022_21-14-36] INFO :: Experiment >> 

          ========================================          
                    Experimental Results                    
          ========================================          

               ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~               
                     Concatenated Plans                     

 RU  AL  LE  AC  CF       GT       ST       OT        TT        LT        CT       WT         RSS         VMS  QL_SCORE  LT_SCORE  CT_SCORE  AW_SCORE  AME_SCORE  LT_GRADE  CT_GRADE  AW_GRADE  AME_GRADE    GRADE
 46   3   1   1 1.132696 0.780235 0.000000 1.912930  1.912930  1.912930 0.000000  978.484375  970.417969  20  20 1.0   20        1     20     1         0        1       1 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000  1.000000  1.000000        90953            0
 46   2   1   1 2.136059 1.121540 0.008541 3.266140  5.179070  5.179070 1.855808 1001.695312  996.113281  26  26 1.0   26        1     26    10        10        1      10 2.600000 2.600000 2.875181 2.875181 1.105839 1.105839  0.411708  0.411708        51787        28283
 46   2   2   2 1.434571 0.413074 0.008163 1.855808  7.034878  1.855808 0.000000  996.160156  989.515625  18  18 1.0   18       27     44    10        10       11      20 1.800000 1.800000 0.918937 0.918937 0.510520 0.510520  0.716939  0.716939        12244         7068
 46   1   1   1 1.469511 0.355958 0.004860 1.830328  7.009398  7.009398 2.756979  984.171875  976.910156  14  14 1.0    0        1     14     6         6        1       6 2.333333 2.333333 1.861899 1.861899 0.797957 0.797957  0.413155  0.413155         8288         5122
 46   1   2   2 0.788032 0.109308 0.003832 0.901171  9.766378  2.756979 2.276420  976.085938  969.593750   8   8 1.0    0       15     22     6         6        7      12 1.333333 1.333333 0.816497 0.816497 0.612372 0.612372  0.666858  0.666858         2155           65
 46   1   3   3 1.782822 0.488062 0.005536 2.276420 12.042797  2.276420 1.322566  995.593750  991.156250  17  17 1.0    0       23     39     7         7       13      19 2.428571 2.428571 1.718249 1.718249 0.707514 0.707514  0.486108  0.486108        12909         3577
 46   1   4   4 1.125566 0.191848 0.005153 1.322566 13.365363  1.322566 0.578567  988.792969  982.558594  11  11 1.0    0       40     50     7         7       20      26 1.571429 1.571429 1.133893 1.133893 0.721569 0.721569  0.610492  0.610492         2482          231
 46   1   5   5 0.505274 0.071281 0.002012 0.578567 13.943930  0.578567 1.749012  985.332031  977.437500   5   5 1.0    0       51     55     4         4       27      30 1.250000 1.250000 0.500000 0.500000 0.400000 0.400000  0.707519  0.707519          789          208
 46   1   6   6 0.805427 0.940937 0.002648 1.749012 15.692942  1.749012 1.198947  987.187500  979.261719   8   8 1.0    0       56     63     4         4       31      34 2.000000 2.000000 0.816497 0.816497 0.408248 0.408248  0.569421  0.569421         1685          237
 46   1   7   7 1.014749 0.180273 0.003926 1.198947 16.891889  1.198947 0.705563  993.351562  986.089844  10  10 1.0    0       64     73     5         5       35      39 2.000000 2.000000 1.000000 1.000000 0.500000 0.500000  0.569323  0.569323         2978          744
 46   1   8   8 0.612108 0.089820 0.003636 0.705563 17.597452  0.705563 0.000000  987.734375  979.894531   6   6 1.0    0       74     79     5         5       40      44 1.200000 1.200000 0.447214 0.447214 0.372678 0.372678  0.770330  0.770330          866           38
 47   3   1   1 1.131173 0.802275 0.000000 1.933447  1.933447  1.933447 0.000000  989.433594  981.328125  20  20 1.0   20        1     20     1         0        1       1 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000  1.000000  1.000000        90261            0
 47   2   1   1 2.711015 2.446821 0.008831 5.166667  7.100114  7.100114 0.980466 1029.265625 1029.593750  31  31 1.0   31        1     31    10        10        1      10 3.100000 3.100000 2.514403 2.514403 0.811098 0.811098  0.454148  0.454148        96099        64316
 47   2   2   2 0.819752 0.153958 0.006757 0.980466  8.080581  0.980466 0.000000 1011.597656 1004.582031  11  11 1.0   11       32     42    10        10       11      20 1.100000 1.100000 0.316228 0.316228 0.287480 0.287480  0.880669  0.880669         2636           44
 47   1   1   1 1.586476 0.412928 0.005607 2.005011  9.105125  9.105125 2.543431 1017.042969 1012.988281  15  15 1.0    0        1     15     7         7        1       7 2.142857 2.142857 1.772811 1.772811 0.827312 0.827312  0.475895  0.475895         8486         5109
 47   1   2   2 1.317412 0.239686 0.005867 1.562965 11.648557  2.543431 1.582596 1012.742188 1006.066406  13  13 1.0    0       16     28     8         8        8      15 1.625000 1.625000 0.744024 0.744024 0.457861 0.457861  0.732527  0.732527         4282          955
 47   1   3   3 1.330609 0.245641 0.006346 1.582596 13.231153  1.582596 2.188151 1012.035156 1005.257812  13  13 1.0    0       29     41     8         8       16      23 1.625000 1.625000 0.744024 0.744024 0.457861 0.457861  0.732527  0.732527         3950          811
 47   1   4   4 1.709955 0.471793 0.006403 2.188151 15.419303  2.188151 0.347013 1023.144531 1020.343750  16  16 1.0    0       42     57     8         8       24      31 2.000000 2.000000 0.755929 0.755929 0.377964 0.377964  0.729255  0.729255        11205         4831
 47   1   5   5 0.312310 0.033779 0.000924 0.347013 15.766316  0.347013 0.351348 1009.980469 1002.277344   3   3 1.0    0       58     60     2         2       32      33 1.500000 1.500000 0.707107 0.707107 0.471405 0.471405  0.228447  0.228447          233           17
 47   1   6   6 0.312581 0.037589 0.001177 0.351348 16.117664  0.351348 1.291589 1009.980469 1002.277344   3   3 1.0    0       61     63     3         3       34      36 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000  1.000000  1.000000          348           24
 47   1   7   7 0.403466 0.886401 0.001721 1.291589 17.409253  1.291589 0.455026 1009.980469 1002.277344   4   4 1.0    0       64     67     3         3       37      39 1.333333 1.333333 0.577350 0.577350 0.433013 0.433013  0.585162  0.585162          402            6
 47   1   8   8 0.404626 0.047961 0.002439 0.455026 17.864279  0.455026 0.000000 1009.980469 1002.277344   4   4 1.0    0       68     71     3         3       40      42 1.333333 1.333333 0.577350 0.577350 0.433013 0.433013  0.585162  0.585162          400            4
 48   3   1   1 1.129665 0.747973 0.000000 1.877637  1.877637  1.877637 0.000000 1012.355469 1004.628906  20  20 1.0   20        1     20     1         0        1       1 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000  1.000000  1.000000        88976            0
 48   2   1   1 1.917479 0.593202 0.008300 2.518981  4.396618  4.396618 2.308957 1034.800781 1030.300781  24  24 1.0   24        1     24    10        10        1      10 2.400000 2.400000 2.756810 2.756810 1.148671 1.148671  0.425181  0.425181        21190         9375
 48   2   2   2 1.610792 0.689634 0.008531 2.308957  6.705574  2.308957 0.000000 1038.136719 1034.261719  20  20 1.0   20       25     44    10        10       11      20 2.000000 2.000000 1.154701 1.154701 0.577350 0.577350  0.666613  0.666613        27222        19648
 48   1   1   1 1.473676 0.397729 0.004746 1.876151  6.272769  6.272769 3.225472 1028.074219 1021.261719  14  14 1.0    0        1     14     6         6        1       6 2.333333 2.333333 1.861899 1.861899 0.797957 0.797957  0.413155  0.413155        11091         7160
 48   1   2   2 0.796401 0.116312 0.003802 0.916515  9.498241  3.225472 1.294039 1017.750000 1009.906250   8   8 1.0    0       15     22     6         6        7      12 1.333333 1.333333 0.516398 0.516398 0.387298 0.387298  0.767638  0.767638         2350          306
 48   1   3   3 1.106434 0.182877 0.004728 1.294039 10.792280  1.294039 0.808015 1023.285156 1015.445312  11  11 1.0    0       23     33     6         6       13      18 1.833333 1.833333 0.752773 0.752773 0.410603 0.410603  0.686789  0.686789         2439          313
 48   1   4   4 0.701560 0.102663 0.003792 0.808015 11.600295  0.808015 0.954401 1020.136719 1012.179688   7   7 1.0    0       34     40     6         6       19      24 1.166667 1.166667 0.408248 0.408248 0.349927 0.349927  0.808933  0.808933         1208           64
 48   1   5   5 0.808162 0.142847 0.003391 0.954401 12.554696  0.954401 0.948359 1026.628906 1019.152344   8   8 1.0    0       41     48     5         5       25      29 1.600000 1.600000 0.894427 0.894427 0.559017 0.559017  0.603019  0.603019         2408          931
 48   1   6   6 0.817833 0.126745 0.003781 0.948359 13.503055  0.948359 1.025718 1031.042969 1025.207031   8   8 1.0    0       49     56     5         5       30      34 1.600000 1.600000 0.547723 0.547723 0.342327 0.342327  0.728611  0.728611         1566          295
 48   1   7   7 0.896758 0.125440 0.003520 1.025718 14.528773  1.025718 0.691184 1027.050781 1019.507812   9   9 1.0    0       57     65     5         5       35      39 1.800000 1.800000 0.836660 0.836660 0.464811 0.464811  0.622260  0.622260         1960          214
 48   1   8   8 0.600704 0.086493 0.003987 0.691184 15.219957  0.691184 0.000000 1027.519531 1020.121094   6   6 1.0    0       66     71     5         5       40      44 1.200000 1.200000 0.447214 0.447214 0.372678 0.372678  0.770330  0.770330          878           14
 49   3   1   1 1.127045 0.855732 0.000000 1.982777  1.982777  1.982777 0.000000 1028.773438 1021.023438  20  20 1.0   20        1     20     1         0        1       1 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000  1.000000  1.000000        96422            0
 49   2   1   1 2.685075 3.878005 0.008916 6.571995  8.554772  8.554772 0.979568 1064.050781 1063.781250  31  31 1.0   31        1     31    10        10        1      10 3.100000 3.100000 2.514403 2.514403 0.811098 0.811098  0.454148  0.454148       114233        81571
 49   2   2   2 0.819373 0.154050 0.006145 0.979568  9.534340  0.979568 0.000000 1046.085938 1038.300781  11  11 1.0   11       32     42    10        10       11      20 1.100000 1.100000 0.316228 0.316228 0.287480 0.287480  0.880669  0.880669         2758          248
 49   1   1   1 1.596575 0.446629 0.005912 2.049116 10.603888 10.603888 2.538097 1051.195312 1047.160156  15  15 1.0    0        1     15     7         7        1       7 2.142857 2.142857 1.772811 1.772811 0.827312 0.827312  0.475895  0.475895        11805         7355
 49   1   2   2 1.320575 0.232237 0.005717 1.558528 13.141984  2.538097 1.570194 1048.218750 1041.820312  13  13 1.0    0       16     28     8         8        8      15 1.625000 1.625000 0.744024 0.744024 0.457861 0.457861  0.732527  0.732527         4077          864
 49   1   3   3 1.321126 0.242647 0.006421 1.570194 14.712178  1.570194 2.212080 1049.183594 1042.558594  13  13 1.0    0       29     41     8         8       16      23 1.625000 1.625000 0.744024 0.744024 0.457861 0.457861  0.732527  0.732527         3923          806
 49   1   4   4 1.697411 0.508325 0.006344 2.212080 16.924258  2.212080 0.348492 1058.554688 1054.855469  16  16 1.0    0       42     57     8         8       24      31 2.000000 2.000000 0.755929 0.755929 0.377964 0.377964  0.729255  0.729255        11176         5854
 49   1   5   5 0.313896 0.033603 0.000994 0.348492 17.272750  0.348492 0.353909 1043.531250 1035.804688   3   3 1.0    0       58     60     2         2       32      33 1.500000 1.500000 0.707107 0.707107 0.471405 0.471405  0.228447  0.228447          232           16
 49   1   6   6 0.313748 0.039042 0.001119 0.353909 17.626659  0.353909 0.466276 1043.531250 1035.804688   3   3 1.0    0       61     63     3         3       34      36 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000  1.000000  1.000000          362           35
 49   1   7   7 0.408849 0.055774 0.001652 0.466276 18.092935  0.466276 0.465787 1043.531250 1035.804688   4   4 1.0    0       64     67     3         3       37      39 1.333333 1.333333 0.577350 0.577350 0.433013 0.433013  0.585162  0.585162          432            0
 49   1   8   8 0.410613 0.052215 0.002959 0.465787 18.558722  0.465787 0.000000 1043.531250 1035.804688   4   4 1.0    0       68     71     3         3       40      42 1.333333 1.333333 0.577350 0.577350 0.433013 0.433013  0.585162  0.585162          432            0

[04-02-2022_21-14-36] INFO :: __main__ >> Saving results to excel file: ./experiments/results/ASH_Excel_2022-02-04_20-56-13_PS3_hcr_online_2_4_yield_preach_opt.xlsx

[04-02-2022_21-14-41] INFO :: __main__ >> Saving results to data file: ./experiments/results/ASH_Data_2022-02-04_20-56-13_PS3_hcr_online_2_4_yield_preach_opt.dat

[04-02-2022_21-14-41] INFO :: __main__ >> Saving results to figure file: ./experiments/results/ASH_Figure_2022-02-04_20-56-13_PS3_hcr_online_2_4_yield_preach_opt.png

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=12.0.

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'STIXSizeFourSym' (STIXSizFourSymBol.ttf) normal normal 700 normal>) = 10.335

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-BoldItalic.ttf) italic normal 700 normal>) = 11.335

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'cmmi10' (cmmi10.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'STIXGeneral' (STIXGeneralBol.ttf) normal normal 700 normal>) = 10.335

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'STIXSizeTwoSym' (STIXSizTwoSymReg.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'DejaVu Sans' (DejaVuSans-Bold.ttf) normal normal 700 normal>) = 0.33499999999999996

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'cmsy10' (cmsy10.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-Oblique.ttf) oblique normal 400 normal>) = 11.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'cmr10' (cmr10.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'STIXGeneral' (STIXGeneral.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'STIXSizeOneSym' (STIXSizOneSymReg.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'STIXSizeOneSym' (STIXSizOneSymBol.ttf) normal normal 700 normal>) = 10.335

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-Bold.ttf) normal normal 700 normal>) = 10.335

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'STIXSizeThreeSym' (STIXSizThreeSymReg.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'cmb10' (cmb10.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'cmex10' (cmex10.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'STIXNonUnicode' (STIXNonUni.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'STIXSizeFourSym' (STIXSizFourSymReg.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'STIXNonUnicode' (STIXNonUniBol.ttf) normal normal 700 normal>) = 10.335

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'DejaVu Sans' (DejaVuSans.ttf) normal normal 400 normal>) = 0.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'DejaVu Sans' (DejaVuSans-Oblique.ttf) oblique normal 400 normal>) = 1.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'STIXNonUnicode' (STIXNonUniIta.ttf) italic normal 400 normal>) = 11.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'STIXGeneral' (STIXGeneralBolIta.ttf) italic normal 700 normal>) = 11.335

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'DejaVu Serif Display' (DejaVuSerifDisplay.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'STIXGeneral' (STIXGeneralItalic.ttf) italic normal 400 normal>) = 11.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'cmtt10' (cmtt10.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'STIXSizeFiveSym' (STIXSizFiveSymReg.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'DejaVu Serif' (DejaVuSerif.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'cmss10' (cmss10.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'STIXSizeThreeSym' (STIXSizThreeSymBol.ttf) normal normal 700 normal>) = 10.335

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'STIXNonUnicode' (STIXNonUniBolIta.ttf) italic normal 700 normal>) = 11.335

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-Bold.ttf) normal normal 700 normal>) = 10.335

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-Italic.ttf) italic normal 400 normal>) = 11.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'DejaVu Sans' (DejaVuSans-BoldOblique.ttf) oblique normal 700 normal>) = 1.335

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-BoldOblique.ttf) oblique normal 700 normal>) = 11.335

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'STIXSizeTwoSym' (STIXSizTwoSymBol.ttf) normal normal 700 normal>) = 10.335

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'DejaVu Sans Display' (DejaVuSansDisplay.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Microsoft YaHei' (msyhl.ttc) normal normal 290 normal>) = 10.1545

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Lucida Bright' (LBRITEI.TTF) italic normal 400 normal>) = 11.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Lucida Fax' (LFAX.TTF) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Agency FB' (AGENCYB.TTF) normal normal 700 normal>) = 10.335

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Palatino Linotype' (palab.ttf) normal normal 700 normal>) = 10.335

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Lucida Fax' (LFAX.TTF) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Algerian' (ALGER.TTF) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Book Antiqua' (ANTQUAI.TTF) italic normal 400 normal>) = 11.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Courier New' (courbi.ttf) italic normal 700 normal>) = 11.335

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Berlin Sans FB' (BRLNSR.TTF) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Matura MT Script Capitals' (MATURASC.TTF) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Leelawadee UI' (LeelawUI.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'MS Reference Sans Serif' (REFSAN.TTF) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Gill Sans MT' (GILBI___.TTF) italic normal 700 normal>) = 11.335

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Bodoni MT' (BOD_BLAI.TTF) italic normal 900 normal>) = 11.525

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Swis721 BT' (swissb.ttf) normal normal 700 normal>) = 10.335

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Corbel' (corbelli.ttf) italic normal 300 normal>) = 11.145

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Bookman Old Style' (BOOKOSB.TTF) normal normal 600 normal>) = 10.24

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Perpetua' (PERB____.TTF) normal normal 700 normal>) = 10.335

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Swis721 BdCnOul BT' (swisscbo.ttf) normal normal 400 condensed>) = 10.25

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Gill Sans MT' (GILI____.TTF) italic normal 400 normal>) = 11.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Microsoft Sans Serif' (micross.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Garamond' (GARA.TTF) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Vivaldi' (VIVALDII.TTF) italic normal 400 normal>) = 11.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Leelawadee UI' (LeelawUI.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Georgia' (georgia.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Bodoni MT' (BOD_R.TTF) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Playbill' (PLAYBILL.TTF) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Courier New' (cour.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Imprint MT Shadow' (IMPRISHA.TTF) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Franklin Gothic Book' (FRABK.TTF) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Rockwell Condensed' (ROCCB___.TTF) normal normal 700 condensed>) = 10.535

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Leelawadee' (LEELAWDB.TTF) normal normal 700 normal>) = 10.335

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Lucida Fax' (LFAXD.TTF) normal normal 600 normal>) = 10.24

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Bookman Old Style' (BOOKOSI.TTF) italic normal 300 normal>) = 11.145

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Simplex' (simplex_.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Berlin Sans FB Demi' (BRLNSDB.TTF) normal normal 700 normal>) = 10.335

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Franklin Gothic Medium' (framd.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Arial' (ARIALNB.TTF) normal normal 700 condensed>) = 6.8986363636363635

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Swis721 BlkCn BT' (swissck.ttf) normal normal 400 condensed>) = 10.25

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Old English Text MT' (OLDENGL.TTF) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Garamond' (GARAIT.TTF) italic normal 400 normal>) = 11.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'French Script MT' (FRSCRIPT.TTF) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Ink Free' (Inkfree.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Showcard Gothic' (SHOWG.TTF) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'MS Reference Specialty' (REFSPCL.TTF) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Franklin Gothic Demi Cond' (FRADMCN.TTF) normal normal 400 condensed>) = 10.25

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Segoe UI' (seguisli.ttf) italic normal 350 normal>) = 11.0975

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Rockwell Condensed' (ROCC____.TTF) normal normal 400 condensed>) = 10.25

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Swis721 Cn BT' (swissc.ttf) normal normal 400 condensed>) = 10.25

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Trebuchet MS' (trebucit.ttf) italic normal 400 normal>) = 11.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Monospac821 BT' (monosb.ttf) normal normal 700 normal>) = 10.335

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Lucida Console' (lucon.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Monospac821 BT' (monosi.ttf) italic normal 400 normal>) = 11.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Monotxt' (monotxt_.ttf) normal normal 400 normal>) = 10.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'Constantia' (constani.ttf) italic normal 400 normal>) = 11.05

[04-02-2022_21-14-41] DEBUG :: matplotlib.font_manager >> findfont: score(<Font 'RomanS' (romans_IV25.ttf) normal normal 400 normal>) = 10.05

