online_method cf cf cf gf gf gf hy hy hy
 QL_SCORE TI_SCORE GRADE QL_SCORE TI_SCORE GRADE QL_SCORE TI_SCORE GRADE
problem         
ps3 0.861473198446904 0.9985352629093599 0.8600720288616418 0.8877046864646853 0.9980433923099138 0.8869884936118835 0.8802586253535774 0.9981045118659436 0.8784136011835783
ps3ts 0.8430177896373431 0.9996552883356508 0.8426709209518165 0.8537210426053996 0.9990357560085972 0.852412287567987 0.8539618654777668 0.9990424655310164 0.8530033398463599
