online_method cf cf cf cf cf cf gf gf gf gf gf gf hy hy hy hy hy hy
 GT ST LT WT CT LE GT ST LT WT CT LE GT ST LT WT CT LE
problem                  
ps3 134.17594985000233 31.081410850000275 4.277316599999864 0.936340713636391 13.50281869999992 75.0 131.65199149999992 31.179818700000695 4.2775271000001 0.8548125404761673 13.374338799999304 75.0 130.87828390000033 30.87016744999849 4.239547199999961 0.9125242446429338 13.324434500000336 75.0
ps3ts 259.2740159000008 42.30207325000191 3.0433830499998744 0.7176745664983284 14.666361200000718 79.0 255.23194394999666 42.64820175000126 3.0724959999997736 0.7373485310909087 14.52155704999933 77.0 256.04850725000244 42.54499585000064 3.058214050000842 0.7133634873015899 14.506131550001045 78.0
