problem ps1 ps1 ps1 ps2 ps2 ps2 ps3 ps3 ps3
 QL_SCORE TI_SCORE GRADE QL_SCORE TI_SCORE GRADE QL_SCORE TI_SCORE GRADE
achievement_type         
seqa 1.0 0.7388583982257079 0.7388583982257079 0.9757575757575757 0.630024401864323 0.6159527817370497 0.9350440542800179 0.4673694367484606 0.43563637586231946
sima 1.0 0.7374655355011047 0.7374655355011047 0.9878787878787879 0.626697648372244 0.60875973408348 0.9350440542800179 0.46315510162425083 0.43144073875937067
