problem ps1 ps1 ps1 ps1 ps2 ps2 ps2 ps2 ps3 ps3 ps3 ps3
 "Hierarchical Expansion Balance Normalised Deviation" "Hierarchical Expansion Balance Normalised Error" "Mean Expansion Factor Per Level" "Overall Hierarchical Expansion Factor" "Hierarchical Expansion Balance Normalised Deviation" "Hierarchical Expansion Balance Normalised Error" "Mean Expansion Factor Per Level" "Overall Hierarchical Expansion Factor" "Hierarchical Expansion Balance Normalised Deviation" "Hierarchical Expansion Balance Normalised Error" "Mean Expansion Factor Per Level" "Overall Hierarchical Expansion Factor"
achievement_type            
seqa 0.02668327476175674 0.01886792452830205 1.4722222222222219 1.4719601443879744 0.10939396614815206 0.07735321528424993 1.7532679738562091 1.7480147469502525 0.1982231023820947 0.14016489988221445 1.9295454545454547 1.8841443681416772
sima 0.02668327476175674 0.01886792452830205 1.4722222222222219 1.4719601443879744 0.10939396614815206 0.07735321528424993 1.7532679738562091 1.7480147469502525 0.1982231023820947 0.14016489988221445 1.9295454545454547 1.8841443681416772
