problem ps1 ps1 ps1 ps1 ps1 ps1 ps1 ps1 ps2 ps2 ps2 ps2 ps2 ps2 ps2 ps2 ps3 ps3 ps3 ps3 ps3 ps3 ps3 ps3
 GT ST LT WT CT LE AC CF GT ST LT WT CT LE AC CF GT ST LT WT CT LE AC CF
action_planning                        
concurrent 82.9333631500001 7.916578250000157 2.5705837000000424 0.8451230166666592 10.00562310000001 32.0 44.0 0.7272727272727273 130.32974674999872 12.697956349998833 3.892796449999963 1.2276749416666455 14.72782324999946 51.0 64.0 0.8 166.29931295000165 16.071100050000098 4.146748649999552 1.5795797583333666 19.269297249999596 67.0 84.0 0.8026315789473685
sequential 58.14688964999888 13.253839799999788 2.610465550000033 0.6769192916666722 7.911934050000028 41.0 41.0 1.0 81.38083454999926 20.069770199999518 3.7705701000000924 0.9000620708333464 10.683473749999965 59.0 59.0 1.0 99.32460359999996 29.688593499999648 4.756702099999927 1.152149116666659 14.06513705000022 75.0 75.0 1.0
