 \Theta_h \Theta_h \Theta_h \Theta_s \Theta_s \Theta_s B_d B_d B_d B_e B_e B_e
problem ps1 ps2 ps3 ps1 ps2 ps3 ps1 ps2 ps3 ps1 ps2 ps3
action_planning            
concurrent 2.4615384615384617 3.923076923076923 4.785714285714286 1.5689290811054724 1.9806758753205742 2.187627547301936 0.17582114559233059 0.07109152557710373 0.048765984909417054 0.12529641967161748 0.059474456476078526 0.053116434749908105
sequential 2.2777777777777777 3.2777777777777777 3.75 1.509230856356236 1.8104634152000358 1.9364916731037085 0.062009364121027095 0.10939396614815206 0.1794520119891353 0.04388945267077256 0.07490950322113825 0.12792581355654792
