problem ps1 ps1 ps1 ps2 ps2 ps2 ps3 ps3 ps3
 QL_SCORE TI_SCORE GRADE QL_SCORE TI_SCORE GRADE QL_SCORE TI_SCORE GRADE
preach_type         
NONE 0.9069767441860465 1.0 0.9069767441860465 0.8412698412698413 0.9623875897605024 0.8100673255733066 0.812151043197179 0.9439676359160809 0.7671294408156384
opt 1.0 1.0 1.0 0.9636363636363636 0.9616340661451948 0.9197994700603968 0.9178082191780822 0.9428633188944502 0.8683202041051152
