problem  ps3 ps3 ps3 ps3 ps3 ps3 ps3 ps3 ps3
  "Number of Problems" "Mean Problem Size Factor" "Problem Balance Normalised Deviation" "Problem Balance Normalised Error" "Complete-Plan Expansion Factor" "Partial-Plan Expansion Balance Normalised Deviation" "Partial-Plan Expansion Balance Normalised Error" "Sub-Plan Expansion Balance Normalised Deviation" "Sub-Plan Expansion Balance Normalised Error"
online_bounds AL         
(0,) 1.0 18.0 0.05555555555555555 0.3480349036780793 0.2961647727272726 1.6212516297262058 0.4960485725043422 0.27236363636363625 0.5248986933929851 0.8274763135228249
(0,) 2.0 7.0 0.14285714285714285 0.6196773353931866 0.5571428571428572 2.6 1.0276346810618655 0.2116154499910538 0.9300604347346733 2.3796296296296284
(0,) 3.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0
(1,) 1.0 10.0 0.1 0.36386311904040164 0.24364669421487606 1.659090909090909 0.3365228837843507 0.26881547139403694 0.6009270252116207 1.2070624281871825
(1,) 2.0 3.0 0.33333333333333337 0.458257569495584 0.16 2.2 0.6980720826654224 0.14025297619047625 0.9625433902762094 2.49074074074074
(1,) 3.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0
