  QL_SCORE QL_SCORE TI_SCORE TI_SCORE GRADE GRADE
statistic  0.5 IQR 0.5 IQR 0.5 IQR
problem online_bounds      
ps3 "(0.5, 0.5)" 0.8303243574051408 0.16690686293820767 1.0 0.0 0.8303243574051408 0.16690686293820767
ps3 "(1.0, 0.5)" 0.8530217566478646 0.0874855882661969 1.0 0.0 0.8530217566478646 0.0874855882661969
ps3 "(1.0, 1.0)" 0.8803675712813466 0.09114916773367476 0.9954570882526866 0.006801120023134322 0.8725256591167918 0.09487831470935576
ps3 "(1.5, 0.5)" 0.8829547425004335 0.05184812037772818 1.0 0.0 0.8829547425004335 0.05184812037772818
ps3 "(1.5, 1.0)" 0.9097581902900658 0.051755827687644806 0.9943644981709059 0.004467839441623489 0.899313441644097 0.05062605687290833
ps3 "(1.5, 1.5)" 0.9178082191780822 0.038091195575278125 0.9909665221070947 0.005233596567329801 0.9112463340645396 0.03874366890335118
