problem ps3 ps3 ps3 ps3 ps3 ps3
 GT ST LT WT CT LE
online_bounds      
"(0.5, 0.5)" 26.03187079999921 5.512313599999899 3.105625700000132 0.9285529266666847 15.688998299999756 79.0
"(1.0, 0.5)" 25.56411685000029 5.82083870000011 3.811622949999958 1.0060904426472028 14.93885599999905 75.0
"(1.0, 1.0)" 24.756975200000284 6.266746900000328 4.550209100000245 1.6796605388889545 14.9079666500005 73.0
"(1.5, 0.5)" 24.31766735000022 5.974191899999823 4.198710850000623 1.030226762946423 14.963596150000171 75.0
"(1.5, 1.0)" 24.225490299999706 6.368437849999594 4.726255450000082 1.812661153750048 15.177478449999516 73.0
"(1.5, 1.5)" 24.168885899999964 6.8094880000003 5.238088850000338 2.2359957794641048 15.436263949999955 73.0
