 \Theta_h \Theta_h \Theta_h \Theta_s \Theta_s \Theta_s B_d B_d B_d B_e B_e B_e
problem ps1 ps2 ps3 ps1 ps2 ps3 ps1 ps2 ps3 ps1 ps2 ps3
planning_mode            
offline 2.1666666666666665 3.0555555555555554 3.65 1.4719601443879744 1.7480147469502525 1.91049731745428 0.02668327476175674 0.10939396614815206 0.1982231023820947 0.01887128390241009 0.07758568128174935 0.14156237906417152
online 2.2777777777777777 3.2777777777777777 3.75 1.509230856356236 1.8104634152000358 1.9364916731037085 0.062009364121027095 0.10939396614815206 0.1794520119891353 0.04388945267077256 0.07490950322113825 0.12792581355654792
