 RU IT AL GT ST TT S A 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100
0 0 1 3 0.825822 0.714978 1.582879 18 18 0.04400670000000062 0.03471449999999976 0.0357371999999998 0.03903670000000048 0.040187499999998266 0.042812400000002526 0.04519000000000162 0.05004050000000149 0.048396100000001496 0.05076169999999891 0.052335400000000476 0.061111600000000266 0.0683499999999988 0.07911320000000188 0.1020304000000003 0.19673239999999836 0.31894630000000035 0.2159608999999989 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 1 2 0.99292 0.268924 1.303768 17 17 0.06714029999999838 0.047076300000000515 0.050779500000000866 0.05284449999999907 0.05754519999999985 0.06024420000000319 0.06551270000000287 0.06631039999999544 0.06676620000000355 0.0743633999999993 0.08915239999999969 0.08251530000000074 0.08899059999999892 0.09347049999999868 0.08969929999999948 0.10281699999999816 0.08992220000000017 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2 0 1 1 1.104151 0.212784 1.357764 13 13 0.19988409999999845 0.07191189999999992 0.07081609999999827 0.07773829999999649 0.0813802999999993 0.08603859999999841 0.09060720000000089 0.09436739999999944 0.09390569999999698 0.09991119999999754 0.09984500000000551 0.10873829999999884 0.12284229999999496 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3 0 2 1 1.315593 0.256418 1.622238 27 27 0.19988409999999845 0.07191189999999992 0.07081609999999827 0.07773829999999649 0.0813802999999993 0.08603859999999841 0.09060720000000089 0.09436739999999944 0.09390569999999698 0.09991119999999754 0.09984500000000551 0.10873829999999884 0.12284229999999496 0.27635589999999866 0.07480350000000158 0.07556900000000155 0.08074189999999959 0.08881450000000513 0.08842620000000068 0.0932707999999991 0.09543929999999534 0.0959676000000016 0.10271090000000527 0.11113409999999391 0.11505489999999696 0.12067979999999068 0.12954900000000436 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 0 3 2 0.593091 0.098729 0.710305 26 26 0.06714029999999838 0.047076300000000515 0.050779500000000866 0.05284449999999907 0.05754519999999985 0.06024420000000319 0.06551270000000287 0.06631039999999544 0.06676620000000355 0.0743633999999993 0.08915239999999969 0.08251530000000074 0.08899059999999892 0.09347049999999868 0.08969929999999948 0.10281699999999816 0.08992220000000017 0.12851649999999637 0.05676700000000068 0.05849140000000119 0.06486839999999461 0.06508020000000414 0.06991639999999677 0.07030180000000286 0.07369910000000601 0.08275859999999824 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 0 3 1 0.671435 0.093636 0.779042 32 32 0.19988409999999845 0.07191189999999992 0.07081609999999827 0.07773829999999649 0.0813802999999993 0.08603859999999841 0.09060720000000089 0.09436739999999944 0.09390569999999698 0.09991119999999754 0.09984500000000551 0.10873829999999884 0.12284229999999496 0.27635589999999866 0.07480350000000158 0.07556900000000155 0.08074189999999959 0.08881450000000513 0.08842620000000068 0.0932707999999991 0.09543929999999534 0.0959676000000016 0.10271090000000527 0.11113409999999391 0.11505489999999696 0.12067979999999068 0.12954900000000436 0.38266270000000446 0.08092359999999843 0.0897237000000004 0.08834689999999767 0.09557970000000182 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6 0 4 1 0.906185 0.139085 1.069004 39 39 0.19988409999999845 0.07191189999999992 0.07081609999999827 0.07773829999999649 0.0813802999999993 0.08603859999999841 0.09060720000000089 0.09436739999999944 0.09390569999999698 0.09991119999999754 0.09984500000000551 0.10873829999999884 0.12284229999999496 0.27635589999999866 0.07480350000000158 0.07556900000000155 0.08074189999999959 0.08881450000000513 0.08842620000000068 0.0932707999999991 0.09543929999999534 0.0959676000000016 0.10271090000000527 0.11113409999999391 0.11505489999999696 0.12067979999999068 0.12954900000000436 0.38266270000000446 0.08092359999999843 0.0897237000000004 0.08834689999999767 0.09557970000000182 0.4272106000000022 0.08229900000000612 0.08673220000000015 0.09446859999999901 0.09939330000000268 0.10373980000000671 0.12122320000000286 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 1 1 3 0.833597 0.641613 1.518227 18 18 0.047363900000007675 0.03513300000000186 0.03568509999999492 0.039586899999996206 0.04032180000000096 0.04246029999999479 0.04485509999999948 0.045877799999999525 0.047722199999995496 0.05183579999999921 0.05331239999998871 0.06308070000000043 0.0707792999999981 0.08323099999999073 0.11545250000000351 0.171795699999997 0.2854150000000004 0.18476160000000164 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8 1 1 2 0.992684 0.27552 1.310716 17 17 0.0707913999999974 0.04844980000000021 0.0497338000000056 0.055850700000000586 0.05626409999999993 0.0594063999999932 0.06686380000000014 0.06857840000000692 0.06653210000000342 0.06694270000000557 0.0712175999999971 0.07764679999999657 0.08114899999999636 0.08251549999999952 0.0986712000000054 0.09959839999999787 0.13114170000000058 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 1 1 1 1.104954 0.217423 1.362685 13 13 0.198889599999994 0.06962480000000681 0.07055300000000386 0.07829949999999997 0.08382679999999709 0.08632979999999435 0.09106959999999731 0.09400830000000582 0.09857180000000199 0.09996060000000284 0.10731180000000506 0.1054056999999986 0.1184055000000015 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
