 RU IT AL GT ST TT S A 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
0 0 1 3 1.049689 2.390705 3.506442 20 20 0.046648499999975 0.03430950000000621 0.03606600000000526 0.04107519999999454 0.041461699999956636 0.04386690000001181 0.04579140000001303 0.04899120000001744 0.049368700000030685 0.05607689999999366 0.05816749999999615 0.06610960000000432 0.0804337000000146 0.0955598999999836 0.14688789999999585 0.21948029999998653 0.3842812999999978 0.6106726000000151 0.8966347000000212 0.4220877999999857 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 1 2 4.365706 28.768439 33.45916 44 44 0.9791104000000246 0.09080610000000888 0.08973210000002041 0.09732700000003547 0.10149599999999737 0.1117458999999883 0.11314409999999953 0.11385620000001495 0.10758169999999723 0.12694909999999027 0.14243430000001922 0.13525759999998854 0.20003489999999147 0.2051761999999826 0.40135809999998173 0.5123301999999796 1.129890400000022 1.33277369999999 2.0981695000000116 2.9674939000000222 3.8652299000000028 2.0894387000000165 2.3652485999999726 2.3790353999999923 4.996207800000008 6.364511499999992 0.0 0.0 0.0 0.0 0.0
2 0 1 1 22.708484 60.690515 84.409138 73 73 7.365859600000022 0.510674100000017 0.5267781999999954 0.5295035999999982 0.5424725999999964 0.5650384999999858 0.5711383999999953 0.5971410999999875 0.5856076999999971 0.6408212999999989 0.6036073999999871 0.6272970999999927 0.7404333000000065 0.7356936999999562 0.7834141000000159 0.8707204000000104 0.9448346000000356 1.0024396000000024 1.302542800000026 1.7861714000000006 1.2761303000000055 1.8831411000000173 1.2258231000000137 1.1257616999999982 2.4419242000000168 6.5056500999999685 3.890301199999982 6.698462899999981 9.238711800000004 13.57713910000001 13.683658399999956
3 1 1 3 1.051332 2.299317 3.419858 20 20 0.046633099999951355 0.03354660000002241 0.036545800000055806 0.0410633000000189 0.04240390000001071 0.04436989999999241 0.051042100000017854 0.0462252000000376 0.04976179999999886 0.05208390000007057 0.05951780000003737 0.063235700000007 0.07963910000000851 0.09342239999995172 0.16045459999998002 0.24724060000005466 0.4125373000000536 0.5763955999999553 0.9145532000000003 0.28373349999998254 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 1 2 3.684416 7.520509 11.437193 42 42 0.9729383999999754 0.09260850000003984 0.09106270000006589 0.09640830000000733 0.1051722999999356 0.10316000000005943 0.09804739999998446 0.10226479999994353 0.11492240000006859 0.12244829999997364 0.14117889999999989 0.13379669999994803 0.1489069999999515 0.18368990000004715 0.1448920000000271 0.19695450000006076 0.18832459999998719 0.6134819999999763 0.7221395000000257 0.8766469000000257 1.301087099999961 1.7095583999999917 1.8168028999999706 1.111039299999959 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 1 1 21.685215 31.594917 54.194581 71 71 6.912492899999961 0.490434300000004 0.4891699000000358 0.5090389999999729 0.5227998999999954 0.5810312000000408 0.5303801000000021 0.6512029000000439 0.6148719000000256 0.5643158000000312 0.563082100000031 0.5962771999999745 0.6751666000000114 0.6948598999999831 0.7483742999999663 0.8457636999999636 0.8396266999999966 0.8781354999999849 0.7871230000000082 0.915340199999946 1.4452369999999632 1.73590310000003 1.8395975000000249 2.142324599999995 1.7357382000000712 2.085661899999991 1.767938499999957 4.231499699999972 3.8966631999999777 7.251822799999957 5.719136800000001
6 2 1 3 1.058168 2.434894 3.562078 20 20 0.04988670000000184 0.03479320000002417 0.038110299999971176 0.04246649999998908 0.04427299999997558 0.04387759999997343 0.04635619999999108 0.047039200000028814 0.04899929999999131 0.053904499999987365 0.05889590000003864 0.06669529999999213 0.07681500000001051 0.10118679999993674 0.15388569999998936 0.2324449000000186 0.33692460000003166 0.5516104999999811 1.136175900000012 0.31253359999999475 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 1 2 3.990671 6.507302 10.734818 42 42 0.9625547999999071 0.08922840000002452 0.09004759999999123 0.09688690000001543 0.09700520000001234 0.10068860000001223 0.10801809999998113 0.10680030000003171 0.11440959999998768 0.12165540000006558 0.11026440000000548 0.1383562999999981 0.16606619999998884 0.16133010000004333 0.20633490000000165 0.20936720000003106 0.3755271000000562 0.5053378000000066 0.8248204000000214 0.9228769000000057 0.9478839000000221 1.304665 1.1845394000000056 1.5345010000000343 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8 2 1 1 21.542209 35.411346 57.848815 71 71 6.921283100000039 0.47444669999998723 0.48850220000002764 0.50368009999994 0.5054941999999869 0.5363199999999892 0.5250469000000635 0.5303252000000498 0.5574081999999976 0.574571399999968 0.6090298000000303 0.6331536999999798 0.6167298999999957 0.7662427000000207 0.7482422999999585 0.9375289999999836 0.9747817999999597 1.095088799999985 0.9885093999999413 1.7846458999999868 1.1749128999999812 0.977188300000023 0.9868234000000484 0.9482608999999798 1.1794744999999693 1.9274996000000328 2.5465745999999854 2.563334999999995 3.9493430999999646 5.4274562000000515 14.479494799999998
9 3 1 3 1.063511 2.56229 3.700651 20 20 0.049005300000033 0.03574070000001939 0.037977499999954034 0.04518669999998792 0.046244500000000244 0.04556039999999939 0.045606200000065655 0.05039620000002287 0.05072680000000673 0.05461150000002135 0.06098399999996218 0.07709089999997332 0.09843119999999317 0.13438249999995833 0.22362459999999373 0.28701699999999164 0.542293099999938 0.638131699999974 0.8742477999999778 0.21098890000001802 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10 3 1 2 3.710914 7.685115 11.631254 42 42 0.9745018999999502 0.08880770000001803 0.09264769999998634 0.09550630000001092 0.09534660000002759 0.10580750000002581 0.10235750000003918 0.10033300000003464 0.10879019999998718 0.11095820000002732 0.12522769999998218 0.13751919999998563 0.15072040000006837 0.13781380000006038 0.17698999999998932 0.21619529999998122 0.2569754000000444 0.5976596000000427 0.9134955000000105 1.2722042999999985 1.2092653999999357 1.2681474000000321 1.3467827999999713 1.695068699999979 0.0 0.0 0.0 0.0 0.0 0.0 0.0
11 3 1 1 21.496877 34.205161 56.584535 71 71 6.966511199999957 0.4931502000000023 0.49987989999999627 0.5048847999999566 0.5364860999999337 0.5163589999999658 0.5280088999999748 0.5646922999999902 0.5777149999999551 0.6127788999999666 0.617650900000001 0.5840236000000232 0.6675653000000352 0.6646575999999982 0.7841262999999685 0.852052199999946 1.0566928999999732 0.9799476000000027 1.3050960000000487 0.8291771000000381 1.428577100000041 1.0504255999999828 0.9883678999999574 1.2746978000000126 2.289998099999991 1.4657548000000133 2.9696669999999585 3.1998060000000237 4.409992000000045 7.0373038999999835 9.425222899999994
12 4 1 3 1.049017 1.863121 2.979674 20 20 0.04559740000001966 0.03406430000001137 0.03813289999993685 0.041750300000046536 0.04297009999999091 0.042847900000026584 0.04628339999999298 0.04755399999999099 0.04897360000001072 0.05277890000002117 0.05882539999998926 0.06599969999996347 0.08288009999995438 0.13530179999997927 0.17637209999992365 0.23344609999998056 0.29491780000000745 0.47549849999995786 0.7923829000000069 0.13844159999996464 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
13 4 1 2 4.375234 29.127066 33.817694 44 44 0.9709660999999983 0.10719860000000381 0.09764949999998862 0.09854079999996657 0.09858280000003106 0.10757860000001074 0.10134899999991376 0.11008730000003197 0.10615899999999101 0.11353320000000622 0.14865629999997054 0.20500550000002704 0.14384400000000142 0.18739240000002155 0.2619301999999948 0.39393590000003087 0.9090823999999884 1.2983406000000173 2.2613213999999857 3.3978276999999935 4.91828419999996 3.589646900000048 5.174087499999928 3.205616799999916 3.036211900000012 2.4408588999999665 0.0 0.0 0.0 0.0 0.0
14 4 1 1 22.549364 42.531923 66.00152 73 73 7.315259699999956 0.5085362999999461 0.5227934999999206 0.5195289000000685 0.5396546999999146 0.5351924000000281 0.5676211999999623 0.5950997999999572 0.640480099999877 0.610793899999976 0.6236253999999235 0.7596514000000525 0.6033369000000448 0.8410880999998653 0.7148731000000907 0.6592369000001099 0.7215332999999191 1.3063413000000992 0.9983776000000262 1.4901650999998992 0.9800155000000359 1.3586404999999786 1.638911300000018 1.0927222999999913 1.670159799999965 3.06499359999998 3.0935346999999638 4.728396800000041 5.873228100000119 8.852500100000043 11.633856000000037
15 5 1 3 1.054322 2.374866 3.504502 20 20 0.04626520000010714 0.03514939999990929 0.035625299999878735 0.042377500000043256 0.041934299999979885 0.04356389999986732 0.04721870000003037 0.04754640000010113 0.052148099999953956 0.06996710000009898 0.07242809999991096 0.09145130000013069 0.08206690000008621 0.1233114999999998 0.17736890000003314 0.308689700000059 0.43288920000009057 0.5114149999999427 0.7070371000000932 0.4449566999999206 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
