 RU IT AL GT ST TT S A 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
0 0 1 3 0.837568 0.761879 1.644466 18 18 0.045955400000000424 0.03482179999999602 0.03811160000000058 0.04101829999999751 0.04045629999999889 0.042614799999999065 0.045960999999998364 0.04665209999999931 0.049269600000002356 0.05651890000000037 0.053931599999998525 0.06248009999999837 0.07602739999999741 0.08940570000000037 0.13490350000000007 0.2094538999999962 0.2878512999999998 0.22783339999999797
1 0 1 2 1.32733 0.642139 2.027584 26 26 0.8699496999999958 0.08902100000000246 0.08569049999999834 0.09454890000000304 0.10584419999999639 0.14662069999999972 0.10649880000000422 0.13867569999999674 0.16797890000000137 0.14760530000000216 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2 0 1 1 5.032159 3.858391 9.109723 39 39 3.503360400000002 0.14870219999999534 0.1455598000000009 0.20586660000000023 0.20571979999999712 0.2090906999999973 0.18288499999999885 0.1960631000000035 0.2293011000000007 0.27232970000000023 0.35563940000000116 0.35686430000000513 0.6297975999999963 1.205925999999998 1.0231668000000056 0.0 0.0 0.0
3 1 1 3 0.833725 0.68384 1.559638 18 18 0.04505900000000196 0.03379580000000004 0.034957600000005584 0.04291049999999785 0.03947209999999757 0.0425941000000023 0.0445329000000001 0.04633190000000553 0.04858469999999926 0.05411120000000835 0.05717950000000371 0.05594819999999601 0.06978330000000454 0.08781019999999984 0.104656999999996 0.17605700000000013 0.2433085000000048 0.2744738999999967
4 1 1 2 1.317106 0.598658 1.97373 26 26 0.8695114000000075 0.08852269999999862 0.08552999999999855 0.09246330000000569 0.09896679999999947 0.10880809999999741 0.10897629999999481 0.1288420000000059 0.1540385999999927 0.16312390000000931 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 1 1 4.815496 4.177662 9.211382 39 39 3.518370300000001 0.13878519999999384 0.1450146000000032 0.1948184000000026 0.18384890000000098 0.18063440000000242 0.18875060000000587 0.19622770000000145 0.30187130000000195 0.23162479999999874 0.3642234000000002 0.6794650000000075 0.5687007999999949 0.7813631000000001 1.2992135999999945 0.0 0.0 0.0
6 2 1 3 0.828107 0.635121 1.505903 18 18 0.04496269999999214 0.034552200000000255 0.036058199999999374 0.03988629999999915 0.040490999999995836 0.043387899999999036 0.04423880000000224 0.045748800000005474 0.049876199999999926 0.05256019999999495 0.054210199999999986 0.061097700000004806 0.07232789999999767 0.08353350000000148 0.10737859999998989 0.1748099999999937 0.3107811999999939 0.15027250000000691
7 2 1 2 1.312776 0.646976 2.016504 26 26 0.8501571999999911 0.0908143999999993 0.09607019999999267 0.09641660000000485 0.10138849999999877 0.14651309999999995 0.13230520000000467 0.11819969999999103 0.1334395000000015 0.17643890000000795 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8 2 1 1 5.016732 3.461144 8.700749 39 39 3.4672696000000016 0.140051899999996 0.14794360000000495 0.1666616999999988 0.6628086000000053 0.21210789999999946 0.169249200000003 0.1770588999999987 0.241634899999994 0.26949250000000546 0.2904127000000045 0.406628600000019 0.4230270000000047 0.9936741999999867 0.6879404999999963 0.0 0.0 0.0
9 3 1 3 0.827643 0.689541 1.560702 18 18 0.044631899999998836 0.035409000000001356 0.035790700000006836 0.040112200000010034 0.04321290000001454 0.044240299999998456 0.04484930000000986 0.04667270000000201 0.047545600000006516 0.05093920000001617 0.05511549999999943 0.06111250000000723 0.06718570000001023 0.09072890000001621 0.11138329999999996 0.2079410999999851 0.294115600000012 0.17908699999999556
10 3 1 2 1.340161 0.587564 1.984415 26 26 0.8813367999999997 0.08519619999999861 0.08536020000001088 0.09337500000000887 0.09929800000000455 0.1482501000000127 0.12293799999999067 0.12669520000001455 0.14642570000000887 0.12098509999999862 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
11 3 1 1 5.008608 3.047667 8.268077 39 39 3.4925105999999886 0.14009239999998613 0.14041229999999416 0.153394299999988 0.2015415000000047 0.16141300000001024 0.1788092999999975 0.2338041000000004 0.2498930999999942 0.2680782999999991 0.369825800000001 0.3731631000000135 0.48494320000000357 0.8371974999999878 0.7515178999999819 0.0 0.0 0.0
12 4 1 3 0.834292 0.615749 1.493094 18 18 0.047863399999997114 0.03523789999999849 0.03622679999998013 0.039761300000009214 0.039278800000005276 0.04250170000000253 0.04715140000000417 0.04547080000000392 0.04850690000000668 0.05047560000001283 0.055130899999994654 0.06455940000000737 0.07061260000000402 0.09267109999998979 0.11448660000000643 0.1879030000000057 0.29072699999998974 0.1244987999999978
13 4 1 2 1.337891 0.596069 1.991859 26 26 0.8657187000000022 0.08379290000000594 0.08472559999999874 0.11433990000000449 0.10147489999998527 0.11678609999999878 0.11141230000001201 0.1315043999999972 0.15076050000000407 0.1561734999999942 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
14 4 1 1 5.001186 3.80024 9.014109 39 39 3.455503499999992 0.14101570000001118 0.14582510000001037 0.1860053999999849 0.21211399999998548 0.18146840000001419 0.22267319999998847 0.19644239999999513 0.33618169999998315 0.30065120000000434 0.43074479999998516 0.4508028000000053 0.46982350000000395 0.9546957999999961 1.0965313999999893 0.0 0.0 0.0
15 5 1 3 0.847526 0.642289 1.534494 18 18 0.04494440000000566 0.034732300000001715 0.03603739999999789 0.03984450000000095 0.041463000000007355 0.04249839999999949 0.045531100000005154 0.06529149999998651 0.051213900000007584 0.052968199999995136 0.0534119000000004 0.056219800000008036 0.07444789999999557 0.08274350000000652 0.11209479999999417 0.20270159999999748 0.3197716000000099 0.118291499999998
16 5 1 2 1.331918 0.621215 2.009318 26 26 0.8723403000000047 0.0856722999999846 0.08576349999998456 0.10134889999999075 0.10583090000000084 0.11684340000000759 0.15010749999999007 0.1183801000000102 0.15351680000000556 0.14613280000000373 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
17 5 1 1 5.049495 3.317304 8.575666 39 39 3.4968006000000145 0.14155009999998924 0.15046399999998528 0.16375109999999893 0.19990059999999232 0.1945685000000026 0.1929834000000028 0.19498249999999473 0.23014439999998615 0.2333143999999976 0.2737079999999992 0.4071465000000103 0.4424544000000026 0.9005249000000077 1.1245842000000152 0.0 0.0 0.0
18 6 1 3 0.827924 0.567597 1.437705 18 18 0.045274899999995455 0.03468819999999084 0.03551280000000645 0.039743299999997816 0.04389069999999151 0.042662100000001146 0.04436689999999999 0.04751360000000204 0.04746099999998421 0.05147519999999872 0.05352820000000236 0.05845750000000294 0.06915279999999768 0.08398780000000272 0.11300079999999468 0.18146729999999422 0.2516497999999956 0.13518850000001237
19 6 1 2 1.323827 0.610188 1.99275 26 26 0.8707492000000059 0.08620450000000801 0.0867305000000016 0.09607689999999991 0.10338319999999612 0.11924360000001855 0.11823460000000807 0.12498669999999379 0.1595148999999907 0.1514099999999985 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
