problem ps1 ps1 ps1 ps1 ps1 ps1 ps2 ps2 ps2 ps2 ps2 ps2 ps3 ps3 ps3 ps3 ps3 ps3
 GT ST LT WT CT LE GT ST LT WT CT LE GT ST LT WT CT LE
achievement_type                  
seqa 23.224592800000124 10.212889899999979 11.29137509999998 11.29137509999998 11.29137509999998 39.0 34.92429599999997 25.984924199999455 20.47801909999941 20.47801909999941 20.47801909999941 55.0 53.57607930000405 128.51093500000252 57.52232850000064 57.52232850000064 57.52232850000064 71.0
sima 23.23241689999992 10.444837399999756 11.42527710000001 11.42527710000001 11.42527710000001 39.0 34.98132609999914 27.263058000000342 20.96710779999989 20.96710779999989 20.96710779999989 55.0 53.35781100000213 127.98154319999992 57.7152992 57.7152992 57.7152992 71.0
