 \Theta_h \Theta_s B_d B_e
problem ps3 ps3 ps3 ps3
online_bounds    
"(0.5, 0.5)" 3.95 1.9874606914351791 0.3279025608529149 0.2462308750285329
"(1.0, 0.5)" 3.75 1.9364916731037085 0.1848388507888214 0.1313220360490599
"(1.0, 1.0)" 3.65 1.91049731745428 0.20503468004665687 0.14581094986441667
"(1.5, 0.5)" 3.75 1.9364916731037085 0.1794520119891353 0.12792581355654792
"(1.5, 1.0)" 3.65 1.91049731745428 0.1982231023820947 0.14156237906417152
"(1.5, 1.5)" 3.65 1.91049731745428 0.1982231023820947 0.14156237906417152
