problem ps1 ps1 ps1 ps2 ps2 ps2 ps3 ps3 ps3
 QL_SCORE TI_SCORE GRADE QL_SCORE TI_SCORE GRADE QL_SCORE TI_SCORE GRADE
planning_mode         
classical 1.0 0.6991812196279591 0.6991812196279591 1.0 0.5288722171478273 0.5288722171478273 1.0 0.1523300763871699 0.1523300763871699
offline 1.0 0.7603093377005306 0.7603093377005306 1.0 0.6602211909300919 0.6581410597449817 0.9436619718309859 0.489326886141764 0.4647358211438272
online 0.9330014075334552 1.0 0.9330014075334552 0.8667492219677768 0.9944844710164552 0.8606725048291063 0.8687611975315357 0.9865936674156985 0.8563486276247052
