 \Theta_h \Theta_h \Theta_h \Theta_s \Theta_s \Theta_s B_d B_d B_d B_e B_e B_e
problem ps1 ps2 ps3 ps1 ps2 ps3 ps1 ps2 ps3 ps1 ps2 ps3
planning_mode            
classical 2.1666666666666665 2.9444444444444446 3.35 1.4719601443879744 1.7159383568311668 1.8303005217723127 0.0 0.0 0.0 0.3206337795132425 0.4172284825856415 0.453641635291847
offline 2.1666666666666665 2.9444444444444446 3.55 1.4719601443879744 1.7159383568311668 1.8841443681416772 0.02668327476175674 0.1353891656869029 0.20503468004665687 0.01887128390241009 0.09617634519419967 0.14785036289240525
online 2.2777777777777777 3.2777777777777777 3.75 1.509230856356236 1.8104634152000358 1.9364916731037085 0.062009364121027095 0.10939396614815206 0.1794520119891353 0.04388945267077256 0.07490950322113825 0.12792581355654792
