online_method cf cf cf cf cf cf gf gf gf gf gf gf hy hy hy hy hy hy
 GT ST LT WT CT LE GT ST LT WT CT LE GT ST LT WT CT LE
problem                  
pl3ts 197.66458070000454 124.12910959999965 35.60002685000495 16.98960934999989 154.32040439999628 164.0 215.5326105000006 126.04754369999682 29.20270150000124 18.002045483173802 164.1467816499912 165.0 214.038788899996 121.40006560000597 29.765017350000335 17.1116420999998 159.75685324999984 164.5
pl3tsdc 230.4143896500068 85.97351650000684 23.73802989999723 10.741211889999871 156.20578284999283 167.0 245.11157155 89.3476123999917 23.57508009999856 10.47589074038498 166.01341669999715 166.0 242.43721104999395 87.87890145000279 21.628217199999426 10.662131211578934 156.47166375001638 166.5
