online_method cf cf cf gf gf gf hy hy hy
 QL_SCORE TI_SCORE GRADE QL_SCORE TI_SCORE GRADE QL_SCORE TI_SCORE GRADE
problem         
pl3ts 0.8963747908533184 0.7485421264434383 0.6696583651515788 0.8258579876600182 0.750201253502765 0.6205995606776851 0.847808413036117 0.7475366285100135 0.6336804249940529
pl3tsdc 0.8802553026477167 0.7902327974136341 0.69312738141444 0.8282005107387398 0.8000329886886554 0.6607985244742853 0.8805236728837877 0.7942924688627602 0.6983494657552474
