online_bounds   "(2, 2)" "(2, 2)" "(2, 2)" "(2, 2)" "(2, 4)" "(2, 4)" "(2, 4)" "(2, 4)" "(4, 2)" "(4, 2)" "(4, 2)" "(4, 2)" "(4, 4)" "(4, 4)" "(4, 4)" "(4, 4)"
2 3.0 1.0 1.2181263000002214 1.2181263000002214 1.0 13.0 1.2177821499999482 1.2177821499999482 1.0 13.0 1.218950900000081 1.218950900000081 1.0 13.0 1.2156831000002062 1.2156831000002062 1.0 13.0
3 1.0 1.0 6.0119922999999815 9.739368700000071 11.0 25.0 4.071492200000023 7.746402250000074 7.0 18.0 5.156638700000144 8.497681049999994 9.0 22.0 3.8524819500000262 7.091727650000053 6.0 17.0
3 1.0 2.0 3.026109400000223 3.7768690500002435 8.0 14.0 2.066881799999969 3.10201660000007 7.0 10.0 2.361421150000041 3.1539774500000135 6.0 11.0 1.6447520999998915 2.4410344499999326 6.0 8.0
3 1.0 3.0 1.792172549999833 1.792172549999833 6.0 8.0 2.5407859000001736 2.5407859000001736 7.0 12.0 1.2611441500000642 1.9670123500000183 4.0 6.0 2.3905172500003573 3.5520670500002893 6.0 11.0
3 1.0 4.0 1.1138506999999866 1.1138506999999866 4.0 5.0 1.2536716499999445 1.2536716499999445 4.0 6.0 0.5686522499999995 1.0550081000001226 2.0 3.0 1.1967237500000611 1.6732295500000873 3.0 6.0
3 1.0 5.0     0.8297964999999863 0.8297964999999863 3.0 4.0 0.8373145500000163 0.8373145500000163 3.0 4.0 0.6315254500000123 0.6315254500000123 2.0 3.0
3 1.0 6.0     1.3236892500000579 1.3236892500000579 4.0 6.0 0.5769804499998941 0.5769804499998941 2.0 3.0 0.4291681499999598 0.4291681499999598 2.0 2.0
3 1.0 7.0     1.0781381500001146 1.0781381500001146 4.0 5.0 1.115742400000045 1.115742400000045 4.0 5.0 0.5689444499998899 0.5689444499998899 2.0 3.0
3 1.0 8.0     1.7318961000000423 1.7318961000000423 4.0 8.0 1.9092621999998869 1.9092621999998869 5.0 9.0 0.4185755499999573 0.4185755499999573 1.0 2.0
3 1.0 9.0             0.5757434000000785 0.5757434000000785 2.0 3.0
3 1.0 10.0             0.5717924499996343 0.5717924499996343 2.0 3.0
3 1.0 11.0             0.2919583000000614 0.2919583000000614 1.0 1.0
3 1.0 12.0             0.5626389500000428 0.5626389500000428 2.0 3.0
3 1.0 13.0             0.43201044999989335 0.43201044999989335 2.0 2.0
3 1.0 14.0             0.42812224999997284 0.42812224999997284 2.0 2.0
3 1.0 15.0             1.943810400000416 1.943810400000416 5.0 9.0
3 2.0 1.0 2.3566605999999695 3.5709733999999003 9.0 19.0 2.371427700000055 3.596386449999841 9.0 19.0 2.0001060000000166 3.217574400000643 6.0 16.0 2.001501049999888 3.216867000000036 6.0 16.0
3 2.0 2.0 0.7606896999999435 0.7606896999999435 7.0 7.0 0.7520145499999558 0.7520145499999558 7.0 7.0 0.7920616000000251 0.7920616000000251 6.0 7.0 0.7878145999998196 0.7878145999998196 6.0 7.0
3 2.0 3.0         0.6879641000000447 0.6879641000000447 6.0 6.0 0.677308199999942 0.677308199999942 6.0 6.0
