search_mode minbound minbound minbound minbound minbound minbound standard standard standard standard standard standard yield yield yield yield yield yield
 GT ST LT WT CT LE GT ST LT WT CT LE GT ST LT WT CT LE
achievement_type                  
seqa 29.834846999999854 48.26346749999968 16.76652250000006 16.76652250000006 16.76652250000006 53.0 40.00941329999938 60.536897900000014 23.4527343000002 23.4527343000002 23.4527343000002 55.0 41.705092599999794 48.53170240000034 20.52193490000008 20.52193490000008 20.52193490000008 55.0
sima 29.88582820000073 49.428930700000066 17.53463599999918 17.53463599999918 17.53463599999918 53.0 40.06681070000053 70.19134020000035 23.28453080000003 23.28453080000003 23.28453080000003 53.0 41.58061519999964 45.28492940000177 20.94130989999987 20.94130989999987 20.94130989999987 55.0
