search_mode minbound minbound minbound minbound standard standard standard standard yield yield yield yield
 "Hierarchical Expansion Balance Normalised Deviation" "Hierarchical Expansion Balance Normalised Error" "Mean Expansion Factor Per Level" "Overall Hierarchical Expansion Factor" "Hierarchical Expansion Balance Normalised Deviation" "Hierarchical Expansion Balance Normalised Error" "Mean Expansion Factor Per Level" "Overall Hierarchical Expansion Factor" "Hierarchical Expansion Balance Normalised Deviation" "Hierarchical Expansion Balance Normalised Error" "Mean Expansion Factor Per Level" "Overall Hierarchical Expansion Factor"
achievement_type            
seqa 0.1353891656869029 0.09573459715639808 1.723856209150327 1.7159383568311668 0.1111386289103585 0.07858687815428977 1.7512626262626265 1.7480147469502525 0.10939396614815206 0.07735321528424993 1.7532679738562091 1.7480147469502525
sima 0.1353891656869029 0.09573459715639808 1.723856209150327 1.7159383568311668 0.1353891656869029 0.09573459715639808 1.723856209150327 1.7159383568311668 0.10939396614815206 0.07735321528424993 1.7532679738562091 1.7480147469502525
