planning_mode problem  GT ST TT LE
offline ps1 0.0 0.9492659466331681 1.0842214458549457 0.961024659021218 1.0
offline ps1 0.5 0.9777803559521291 1.0776276189558485 0.9889516616203344 1.037037037037037
offline ps1 1.0 0.98451882600366 1.1444934105544078 1.0014738569476187 1.037037037037037
offline ps2 0.0 0.9703789914205293 0.9423912640681064 0.9657854787669079 1.0
offline ps2 0.5 0.9935447886287596 1.1016959305405045 1.0159781162471408 1.024390243902439
offline ps2 1.0 1.001379003892235 1.2666057755267583 1.065368084238419 1.024390243902439
offline ps3 0.0 0.9648202677396815 0.09140554603509646 0.24022119887095125 1.0
offline ps3 0.5 0.9680079991300862 0.11208048626425879 0.23082854123010801 1.0
offline ps3 1.0 0.9699442076451124 0.11220259759961768 0.20514305433544308 1.0
online ps1 0.0 0.9509735219787894 0.5767346098242729 0.9429761758461155 1.037037037037037
online ps1 0.5 1.0198387919152276 0.7604899207749607 0.9962447545952032 1.1851851851851851
online ps1 1.0 1.1745458414165644 0.9735530739542299 1.106743505148871 1.2962962962962963
online ps2 0.0 0.9225648471909697 0.2717568109446426 0.8017356586718862 1.048780487804878
online ps2 0.5 1.0532438081350688 0.3802522267411495 0.8801068141474009 1.2439024390243902
online ps2 1.0 1.4555877535948893 0.5583861207802227 1.2038038345975537 1.6097560975609757
online ps3 0.0 0.8418258545637382 0.01174842269709582 0.15516555105996946 1.0350877192982457
online ps3 0.5 0.9137472936360668 0.014932035870766646 0.13814583159498595 1.1754385964912282
online ps3 1.0 1.1528345922864485 0.017414351907896496 0.1415923270498887 1.4385964912280702
