problem ps1 ps1 ps1 ps1 ps1 ps1 ps1 ps1 ps2 ps2 ps2 ps2 ps2 ps2 ps2 ps2 ps3 ps3 ps3 ps3 ps3 ps3 ps3 ps3
 GT ST LT WT CT LE AC CF GT ST LT WT CT LE AC CF GT ST LT WT CT LE AC CF
planning_mode                        
offline 0.9777803559521291 1.0776276189558485 1.5175712573720508 1.5175712573720508 1.5175712573720508 1.037037037037037 1.0 1.037037037037037 0.9935447886287596 1.1016959305405045 1.3719491189634105 1.3719491189634105 1.3719491189634105 1.024390243902439 1.037037037037037 0.9878048780487805 0.9680079991300862 0.11208048626425879 0.24191466940178943 0.24191466940178943 0.24191466940178943 1.0 1.088235294117647 0.918918918918919
online 1.0198387919152276 0.7604899207749607 0.3927603927311154 0.12912664463409482 1.5287626924092996 1.1851851851851851 1.1 1.0774410774410774 1.0532438081350688 0.3802522267411495 0.3141319911398101 0.09906810665587132 1.188472220960221 1.2439024390243902 1.1851851851851851 1.053658536585366 0.9137472936360668 0.014932035870766646 0.031156762086492904 0.011868235786858694 0.1447806367507262 1.1754385964912282 1.2352941176470589 0.9575253924284396
