  YT YT YT YT YT YT YT YT YT YT YT YT YT YT YT YT YT YT YT YT YT YT YT YT YT YT YT YT YT YT YT LE LE LE LE LE LE LE LE LE LE LE LE LE LE LE LE LE LE LE LE LE LE LE LE LE LE LE LE LE LE LE
PN  1.0 2.0 3.0 4.0 5.0 6.0 7.0 8.0 9.0 10.0 11.0 12.0 13.0 14.0 15.0 16.0 17.0 18.0 19.0 20.0 21.0 22.0 23.0 24.0 25.0 26.0 27.0 28.0 29.0 30.0 31.0 1.0 2.0 3.0 4.0 5.0 6.0 7.0 8.0 9.0 10.0 11.0 12.0 13.0 14.0 15.0 16.0 17.0 18.0 19.0 20.0 21.0 22.0 23.0 24.0 25.0 26.0 27.0 28.0 29.0 30.0 31.0
planning_mode problem                                                              
online ps1 0.2559491299820168 0.3914500121936552 0.5157651116860287 0.6561698364775685 0.6965935768588069 0.7742095225449098 0.8057284548505216 0.8494172500392768 0.8528379453273356 0.8946566800402826 0.929361739213756 0.9756083691814195 0.9667403665970227 1.0038022019033062 1.0410176365362682 1.0715489241261453 1.1013370424851752 1.1309050447897588              0.07407407407407407 0.1111111111111111 0.1111111111111111 0.18518518518518517 0.037037037037037035 0.1111111111111111 0.09259259259259259 0.07407407407407407 0.037037037037037035 0.07407407407407407 0.037037037037037035 0.07407407407407407 0.037037037037037035 0.07407407407407407 0.07407407407407407 0.037037037037037035 0.037037037037037035 0.037037037037037035             
online ps2 0.23262614057606276 0.46606270862599436 0.5827076858890979 0.6874131998579471 0.6886643224438069 0.7495610707399996 0.7720469462544479 0.8014961499406337 0.8003226740489743 0.8349942132641107 0.8591039226678392 0.8924162787150558 0.8912836205973197 0.9167664218679847 0.9340654133495612 0.9455815352856334 1.0048050028481859 1.0625552717656381 1.0807037695341168 1.0941645188209435 1.1160365740161684 1.1393507028473486 1.1637246596052846 1.188191390821837 1.2066814599449993 1.2256997877320555      0.17073170731707318 0.2682926829268293 0.12195121951219512 0.12195121951219512 0.04878048780487805 0.10975609756097561 0.024390243902439025 0.07317073170731707 0.024390243902439025 0.04878048780487805 0.04878048780487805 0.04878048780487805 0.024390243902439025 0.04878048780487805 0.024390243902439025 0.04878048780487805 0.04878048780487805 0.06097560975609756 0.024390243902439025 0.04878048780487805 0.024390243902439025 0.04878048780487805 0.04878048780487805 0.024390243902439025 0.024390243902439025 0.024390243902439025     
online ps3 0.029728953434956504 0.0613312358900749 0.07337513336550662 0.08643513980803845 0.09455418182729158 0.100553389799093 0.10440671257024364 0.10774431033009262 0.10624429693476102 0.11193914499066031 0.11616542994407064 0.11894778810266084 0.11443922514793162 0.11696612141420774 0.1190241639543005 0.12428450099866449 0.12595529381791198 0.134100326410502 0.13904245654895037 0.14339024544323262 0.1485358703073223 0.15177424857133887 0.14672857302968942 0.14975226147255902 0.15442997034443864 0.15646160542105705 0.1632839233724559 0.1653204062756508 0.168347772886852 0.17275972271570075 0.1774570096520672 0.12280701754385964 0.19298245614035087 0.08771929824561403 0.10526315789473684 0.06140350877192982 0.07894736842105263 0.03508771929824561 0.06140350877192982 0.03508771929824561 0.043859649122807015 0.043859649122807015 0.07017543859649122 0.02631578947368421 0.03508771929824561 0.03508771929824561 0.043859649122807015 0.07017543859649122 0.08771929824561403 0.017543859649122806 0.05263157894736842 0.06140350877192982 0.043859649122807015 0.017543859649122806 0.03508771929824561 0.05263157894736842 0.017543859649122806 0.08771929824561403 0.017543859649122806 0.03508771929824561 0.05263157894736842 0.05263157894736842
