 \Theta_h \Theta_h \Theta_h \Theta_s \Theta_s \Theta_s B_d B_d B_d B_e B_e B_e
problem ps1 ps2 ps3 ps1 ps2 ps3 ps1 ps2 ps3 ps1 ps2 ps3
planning_mode            
classical 2.076923076923077 3.1538461538461537 4.071428571428571 1.4411533842457842 1.7759071354792608 2.017778127403648 0.0 0.0 0.0 0.3061113335112891 0.43690749362852704 0.5044053722166479
offline 2.1538461538461537 3.230769230769231 4.071428571428571 1.4675987714106855 1.7974340685458343 2.017778127403648 0.0822217187426218 0.022364307497993206 0.08495275816375483 0.05823804648455104 0.01581593124496857 0.060179347659407044
online 2.4615384615384617 3.923076923076923 4.785714285714286 1.5689290811054724 1.9806758753205742 2.187627547301936 0.17582114559233059 0.07109152557710373 0.048765984909417054 0.12529641967161748 0.059474456476078526 0.053116434749908105
